title,url
fetchFriendsByIdentity,"https://my.callofduty.com/api/papi-client/codfriends/v1/{{platform}}/gamer/{{username}}/compendium"
fetchFavoriteFriends,"https://my.callofduty.com/api/papi-client/relationships/v1/list"
sendAddFavoriteFriend,"https://my.callofduty.com/api/papi-client/relationships/v1/friend/platform/{{platform}}/gamer/{{username}}/set/fav"
sendRemoveFavoriteFriend,"https://my.callofduty.com/api/papi-client/relationships/v1/friend/platform/{{platform}}/gamer/{{username}}/set/delete"
sendFriendRequestByPlatform,"https://my.callofduty.com/api/papi-client/codfriends/v1/invite/{{platform}}/gamer/{{username}}"
sendFriendRequestByUno,"https://my.callofduty.com/api/papi-client/codfriends/v1/invite/uno/id/{{unoId}}"
sendCancelFriendRequest,"https://my.callofduty.com/api/papi-client/codfriends/v1/uninvite/uno/id/{{unoId}}"
sendAcceptFriendRequest,"https://my.callofduty.com/api/papi-client/codfriends/v1/invite/uno/id/{{unoId}}"
sendRejectFriendRequest,"https://my.callofduty.com/api/papi-client/codfriends/v1/reject/uno/id/{{unoId}}"
sendBlockFriend,"https://my.callofduty.com/api/papi-client/codfriends/v1/block/uno/id/{{unoId}}"
sendUnblockFriend,"https://my.callofduty.com/api/papi-client/codfriends/v1/unblock/uno/id/{{unoId}}"
sendRemoveFriend,"https://my.callofduty.com/api/papi-client/codfriends/v1/remove/uno/id/{{unoId}}"
fetchChallengeToken,"https://my.callofduty.com/api/papi-client/gifting/v2/proof/{{unoId}}/{{otp}}"
fetchGiftableFriends,"https://my.callofduty.com/api/papi-client/gifting/v2/title/{{title}}/platform/{{platform}}/uno/{{unoId}}/sku/{{sku}}/giftableFriends"
sendFriendGift,"https://my.callofduty.com/api/papi-client/gifting/v2/title/{{title}}/platform/{{platform}}/gamer/{{username}}"
fetchPlayerLootstreams,"https://my.callofduty.com/api/papi-client/loot/title/{{title}}/platform/{{platform}}/gamer/{{username}}/status/{{locale}}"
fetchSeasonLootstream,"https://my.callofduty.com/api/papi-client/loot/title/{{title}}/platform/{{platform}}/list/{{list}}/{{locale}}"
fetchCODPointsByPlatform,"https://my.callofduty.com/api/papi-client/inventory/v1/title/{{title}}/platform/{{platform}}/gamer/{{username}}/currency"
fetchPurchasableItems,"https://my.callofduty.com/api/papi-client/inventory/v1/title/{{title}}/platform/{{platform}}/purchasable/gamer/{{username}}/{{locale}}"
fetchPurchasableItemBySku,"https://my.callofduty.com/api/papi-client/inventory/v1/title/{{title}}/bundle/{{sku}}/{{locale}}"
sendInventoryPurchase,"https://my.callofduty.com/api/papi-client/inventory/v1/title/{{title}}/platform/{{platform}}/gamer/{{username}}/item/{{item}}/purchaseWith/CODPoints"
fetchUserLeaderboard,"https://my.callofduty.com/api/papi-client/leaderboards/v2/title/{{title}}/platform/{{platform}}/time/{{timeframe}}/type/{{type}}/mode/{{mode}}/gamer/{{username}}"
fetchFriendsLeaderboard,"https://my.callofduty.com/api/papi-client/leaderboards/v2/title/{{title}}/platform/{{platform}}/time/{{timeframe}}/type/{{type}}/mode/{{mode}}/gamer/{{username}}/friends"
fetchPageLeaderboard,"https://my.callofduty.com/api/papi-client/leaderboards/v2/title/{{title}}/platform/{{platform}}/time/{{timeframe}}/type/{{type}}/mode/{{mode}}/page/{{page}}"
fetchLoadoutArsenal,"https://my.callofduty.com/api/papi-client/loadouts/v4/title/{{title}}/items/mode/mp/{{locale}}"
fetchLoadouts,"https://my.callofduty.com/api/papi-client/loadouts/v3/title/{{title}}/platform/{{platform}}/gamer/{{username}}/mode/mp"
sendLoadouts,"https://my.callofduty.com/api/papi-client/loadouts/v3/title/{{title}}/platform/{{platform}}/gamer/{{username}}/mode/mp/slot/{{slot}}"
fetchPreferencesList,"https://my.callofduty.com/api/papi-client/preferences/v1/platform/{{platform}}/gamer/{{username}}/list"
sendPreference,"https://my.callofduty.com/api/papi-client/preferences/v1/platform/{{platform}}/gamer/{{username}}/preference/{{preference}}/set/{{set_id}}"
sendUnoPreference,"https://my.callofduty.com/api/papi-client/preferences/v1/platform/uno/id/{{unoId}}/preference/{{preference}}/set/{{value}}"
fetchSquad,"https://squads.callofduty.com/api/v2/squad/lookup/mine"
fetchSquadObjectByName,"https://squads.callofduty.com/api/v2/squad/search?name={{name}}"
fetchSquadObjectByIdentity,"https://my.callofduty.com/api/v2/squad/lookup/platform/{{platform}}?gamerTag={{username}}"
sendSquadCreate,"https://squads.callofduty.com/api/v2/squad/create"
sendSquadEdit,"https://squads.callofduty.com/api/v2/squad/update"
fetchSquadJoin,"https://squads.callofduty.com/api/v2/squad/join?name={{name}}"
fetchSquadLeave,"https://squads.callofduty.com/api/v2/squad/leave"
sendSquadRemoveMember,"https://squads.callofduty.com/api/v2/squad/removeMembers"
fetchSquadReport,"https://squads.callofduty.com/api/v2/squad/report/{{name}}"
sendUserFeedback,"https://squads.callofduty.com/api/v2/user/feedback"
fetchChallengeTournament,"https://squads.callofduty.com/api/v2/challenge/lookup/current"
fetchChallengeHistory,"https://squads.callofduty.com/api/v2/challenge/history/page/{{page}}"
fetchRewards,"https://squads.callofduty.com/api/v2/rewards/lookup/current"
fetchClaimRewards,"https://squads.callofduty.com/api/v2/rewards/claim"
fetchPlayerStatsByMode,"https://my.callofduty.com/api/papi-client/stats/cod/v1/title/{{title}}/platform/{{platform}}/gamer/{{username}}/profile/type/{{gameMode}}"
fetchPlayerStatsByModeAndPeriod,"https://my.callofduty.com/api/papi-client/stats/cod/v1/title/{{title}}/platform/{{platform}}/gamer/{{username}}/profile/type/{{gameMode}}?periods={{periods}}&locale={{locale}}"
fetchPlayerFriendStatsByMode,"https://my.callofduty.com/api/papi-client/stats/cod/v1/title/{{title}}/platform/{{platform}}/gamer/{{username}}/profile/friends/type/{{gameMode}}"
fetchPlayerRecentMatchesByMode,"https://my.callofduty.com/api/papi-client/crm/cod/v2/title/{{title}}/platform/{{platform}}/gamer/{{username}}/matches/{{gameMode}}/start/0/end/0/details?locale={{locale}}"
fetchPlayerFullMatchById, "https://my.callofduty.com/api/papi-client/crm/cod/v2/title/{{title}}/platform/{{platform}}/fullMatch/{{gameMode}}/{{matchId}}/{{locale}}"
fetchPlayerCommunityMap,"https://my.callofduty.com/api/papi-client/ce/v1/title/{{title}}/platform/{{platform}}/gameType/{{gameMode}}/communityMapData/availability"
fetchUserTitleIdentities,"https://my.callofduty.com/api/papi-client/crm/cod/v2/identities"
fetchUserTitleIdentitiesByUno,"https://my.callofduty.com/api/papi-client/crm/cod/v2/identities/platform/uno/id/{{unoId}}"
fetchUserAccounts,"https://my.callofduty.com/api/papi-client/crm/cod/v2/accounts"
fetchUserAccountsByIdentity,"https://my.callofduty.com/api/papi-client/crm/cod/v2/accounts/platform/{{platform}}/gamer/{{username}}"
fetchUserAvatarByIdentity,"https://my.callofduty.com/api/papi-client/crm/cod/v2/platform/{{platform}}/gamer/{{username}}/avatar"
fetchUserAvatarByUno,"https://my.callofduty.com/api/papi-client/crm/cod/v2/platform/{{platform}}/uno/{{unoId}}/avatar"
fetchUserFriendFeed,"https://my.callofduty.com/api/papi-client/userfeed/v1/friendFeed/rendered/{{locale}}"
sendUserFriendFeedEntry,"https://my.callofduty.com/api/papi-client/userfeed/v1/friendFeed/details/{{locale}}"
sendUserFriendFeedReaction,"https://my.callofduty.com/api/papi-client/userfeed/v1/reactions/set/{{reaction}}/{{locale}}"
fetchUserFeedAchievements,"https://my.callofduty.com/api/papi-client/userfeed/v1/friendFeed/platform/{{platform}}/gamer/{{username}}/friendFeedEvents/{{locale}}"
sendUserFeedPinStatus,"https://my.callofduty.com/api/papi-client/userfeed/v1/favorite/set/{{slot}}/{{locale}}"
fetchUserSearchByIdentity,"https://my.callofduty.com/api/papi-client/crm/cod/v2/platform/{{platform}}/username/{{username}}/search"
