pool,func,minargs,maxargs,type,address,definition
GSC-Function-49b60c0,function_1eb9bfd0,1,1,0,sub_00000000031BAF80,
GSC-Function-49b60c0,function_baff9400,1,1,0,sub_00000000031BAFA0,
GSC-Function-49b60c0,function_1c74e6f,2,2,0,sub_00000000031BAFD0,
GSC-Function-49b60c0,function_1f08a8fd,3,3,0,sub_00000000031BB070,
GSC-Function-49b60c0,function_208c7dec,2,2,0,sub_00000000031BB120,
GSC-Function-49b60c0,function_c6937c72,2,2,0,sub_00000000031BB180,
GSC-Function-49b60c0,function_40f806d2,6,7,0,sub_00000000031BC100,
GSC-Function-49b60c0,function_81616624,2,2,0,sub_00000000031BC2A0,
GSC-Function-4f437c0,spawn,2,7,0,sub_00000000032D57C0,
GSC-Function-4f437c0,spawncollision,4,4,0,sub_00000000032D6250,
GSC-Function-4f437c0,spawntimedfx,2,5,0,sub_00000000032D6EB0,
GSC-Function-4f437c0,spawnactor,3,7,0,sub_0000000003344E40,
GSC-Function-4f437c0,spawnvehicle,3,7,0,sub_00000000032D6680,
GSC-Function-4f437c0,spawnweapon,2,4,0,sub_0000000003345250,
GSC-Function-4f437c0,spawnstruct,0,0,0,sub_000000000330F490,
GSC-Function-4f437c0,getentbynum,1,1,0,sub_00000000032D3480,
GSC-Function-4f437c0,getbrushmodelcenter,1,1,0,sub_00000000032D5720,
GSC-Function-4f437c0,getdemofileid,0,0,0,sub_00000000032D33E0,
GSC-Function-4f437c0,function_c7c50474,0,0,0,sub_00000000032D3430,
GSC-Function-4f437c0,getplayers,0,3,0,sub_00000000032CEF50,
GSC-Function-4f437c0,countplayers,0,1,0,sub_00000000032D12F0,
GSC-Function-4f437c0,getdamageableentarray,0,3,0,sub_0000000002D4E110,
GSC-Function-4f437c0,mayspawnfakeentity,0,0,0,sub_000000000330F3A0,
GSC-Function-4f437c0,mayspawnentity,0,0,0,sub_000000000330F440,
GSC-Function-4f437c0,objective_add,2,5,0,sub_00000000033001D0,
GSC-Function-4f437c0,objective_delete,1,1,0,sub_0000000003300A70,
GSC-Function-4f437c0,objective_state,1,1,0,sub_0000000003300CA0,
GSC-Function-4f437c0,objective_setstate,2,2,0,sub_0000000003300EF0,
GSC-Function-4f437c0,objective_position,1,1,0,sub_0000000003301330,
GSC-Function-4f437c0,function_cc3ada06,1,1,0,sub_0000000003303560,
GSC-Function-4f437c0,objective_setposition,2,2,0,sub_00000000033057E0,
GSC-Function-4f437c0,objective_onentity,2,2,0,sub_0000000003305AD0,
GSC-Function-4f437c0,objective_clearentity,1,1,0,sub_0000000003305BB0,
GSC-Function-4f437c0,objective_setvisibletoplayer,2,2,0,sub_0000000003305E20,
GSC-Function-4f437c0,objective_setinvisibletoplayer,2,2,0,sub_0000000003305F80,
GSC-Function-4f437c0,objective_setvisibletoplayerbyindex,2,2,0,sub_0000000003306080,
GSC-Function-4f437c0,objective_setinvisibletoplayerbyindex,2,2,0,sub_0000000003306190,
GSC-Function-4f437c0,objective_setvisibletoall,1,1,0,sub_0000000003306330,
GSC-Function-4f437c0,objective_setinvisibletoall,1,1,0,sub_0000000003306400,
GSC-Function-4f437c0,objective_setprogress,2,2,0,sub_0000000003306B20,
GSC-Function-4f437c0,objective_setgamemodeflags,2,2,0,sub_0000000003306D30,
GSC-Function-4f437c0,objective_getgamemodeflags,1,1,0,sub_0000000003307190,
GSC-Function-4f437c0,objective_setplayerusing,2,2,0,sub_00000000033065B0,
GSC-Function-4f437c0,objective_clearplayerusing,2,2,0,sub_00000000033067A0,
GSC-Function-4f437c0,objective_clearallusing,1,1,0,sub_00000000033069D0,
GSC-Function-4f437c0,objective_team,1,1,0,sub_0000000003307550,
GSC-Function-4f437c0,objective_setteam,2,2,0,sub_00000000033076A0,
GSC-Function-4f437c0,function_3ae6fa3,3,3,0,sub_00000000033077E0,
GSC-Function-4f437c0,function_da7940a3,2,2,0,sub_0000000003307A10,
GSC-Function-4f437c0,objective_setuimodelvalue,3,3,0,sub_000000000330B420,
GSC-Function-4f437c0,objective_getrequiredspecialty,1,1,0,sub_0000000003307DC0,
GSC-Function-4f437c0,function_1fce1758,1,1,0,sub_000000000330AD20,
GSC-Function-4f437c0,function_464c3671,1,2,0,sub_000000000330B010,
GSC-Function-4f437c0,missile_createattractorent,3,5,0,sub_00000000032B89F0,
GSC-Function-4f437c0,missile_createattractororigin,3,5,0,sub_00000000032B8B00,
GSC-Function-4f437c0,missile_createrepulsorent,3,5,0,sub_00000000032B8C10,
GSC-Function-4f437c0,missile_createrepulsororigin,3,5,0,sub_00000000032B8D10,
GSC-Function-4f437c0,missile_deleteattractor,1,1,0,sub_00000000032B8E20,
GSC-Function-4f437c0,bullettrace,4,7,0,sub_0000000003312D90,
GSC-Function-4f437c0,groundtrace,4,6,0,sub_000000000331AC20,
GSC-Function-4f437c0,beamtrace,4,8,0,sub_0000000003310220,
GSC-Function-4f437c0,bullettracepassed,4,7,0,sub_000000000331D9F0,
GSC-Function-4f437c0,sighttracepassed,4,5,0,sub_0000000003320850,
GSC-Function-4f437c0,physicstrace,2,6,0,sub_0000000003320EE0,
GSC-Function-4f437c0,function_e6ba3ec9,3,4,0,sub_0000000003323D90,
GSC-Function-4f437c0,function_7637f5ce,2,4,0,sub_0000000003326C90,
GSC-Function-4f437c0,playerphysicstrace,2,2,0,sub_000000000332BB20,
GSC-Function-4f437c0,playerphysicstraceignoreent,3,3,0,sub_000000000332BC70,
GSC-Function-4f437c0,playerbullettrace,3,3,0,sub_000000000331DC90,
GSC-Function-4f437c0,worldtrace,2,2,0,sub_0000000003320A70,
GSC-Function-4f437c0,playerpositionvalid,1,1,0,sub_000000000332B7E0,
GSC-Function-4f437c0,playerpositionvalidignoreent,2,2,0,sub_000000000332B930,
GSC-Function-4f437c0,function_b576d3d,2,2,0,sub_000000000332BA80,
GSC-Function-4f437c0,function_1fb666e0,3,3,0,sub_0000000003349540,
GSC-Function-4f437c0,getanimtagorigin,3,3,0,sub_0000000003340840,
GSC-Function-4f437c0,getmovedelta,1,4,0,sub_0000000003340620,
GSC-Function-4f437c0,getangledelta,1,3,0,sub_0000000003343500,
GSC-Function-4f437c0,getnorthyaw,0,0,0,sub_0000000003343720,
GSC-Function-4f437c0,playfx,2,6,0,sub_0000000003343880,
GSC-Function-4f437c0,playfxontag,3,4,0,sub_00000000033441C0,
GSC-Function-4f437c0,playfxoncamera,2,5,0,sub_0000000003343CD0,
GSC-Function-4f437c0,getwaterheight,1,3,0,sub_000000000332E310,
GSC-Function-4f437c0,playloopedfx,3,6,0,sub_0000000003344410,
GSC-Function-4f437c0,spawnfx,2,4,0,sub_0000000003344710,
GSC-Function-4f437c0,triggerfx,1,2,0,sub_0000000003344BC0,
GSC-Function-4f437c0,fxblocksight,2,2,0,sub_0000000003344E00,
GSC-Function-4f437c0,resetglass,0,0,0,sub_0000000003344E30,
GSC-Function-4f437c0,playtagfxset,2,2,0,sub_0000000003343800,
GSC-Function-4f437c0,physicsexplosionsphere,4,6,0,sub_0000000003345790,
GSC-Function-4f437c0,physicsexplosioncylinder,4,4,0,sub_0000000003348420,
GSC-Function-4f437c0,physicsjolt,4,4,0,sub_00000000033481A0,
GSC-Function-4f437c0,physicsjetthrust,5,5,0,sub_00000000033485E0,
GSC-Function-4f437c0,createstreamerhint,2,3,0,sub_00000000033459D0,
GSC-Function-4f437c0,aretexturesloaded,0,0,0,sub_00000000033459B0,
GSC-Function-4f437c0,setexpfog,6,6,0,sub_0000000003348A20,
GSC-Function-4f437c0,setvolfog,8,12,0,sub_0000000003348CF0,
GSC-Function-4f437c0,setculldist,1,1,0,sub_0000000003349470,
GSC-Function-4f437c0,grenadeexplosioneffect,1,1,0,sub_000000000333ADB0,
GSC-Function-4f437c0,magicbullet,3,6,0,sub_0000000003307FF0,
GSC-Function-4f437c0,radiusdamage,4,7,0,sub_000000000333B6C0,
GSC-Function-4f437c0,setplayerignoreradiusdamage,1,1,0,sub_000000000333FFA0,
GSC-Function-4f437c0,glassradiusdamage,4,5,0,sub_000000000333DBC0,
GSC-Function-4f437c0,getnumparts,1,1,0,sub_0000000003352750,
GSC-Function-4f437c0,getpartname,2,2,0,sub_0000000003352790,
GSC-Function-4f437c0,earthquake,4,5,0,sub_0000000003352D70,
GSC-Function-4f437c0,screenshake,5,d,0,sub_00000000033533F0,
GSC-Function-4f437c0,bulletspread,3,3,0,sub_0000000003352A90,
GSC-Function-4f437c0,resettimeout,0,0,0,sub_000000000330F4A0,
GSC-Function-4f437c0,getattachmentnames,0,0,0,sub_000000000330F960,
GSC-Function-4f437c0,getwatcherweapons,0,0,0,sub_000000000330FB30,
GSC-Function-4f437c0,getretrievableweapons,0,0,0,sub_000000000330FC40,
GSC-Function-4f437c0,islaseron,1,1,0,sub_000000000330FF60,
GSC-Function-4f437c0,isitemrestricted,1,1,0,sub_000000000330FFA0,
GSC-Function-4f437c0,getequipmentheadobjective,1,1,0,sub_000000000330FFF0,
GSC-Function-4f437c0,getcrateheadobjective,1,1,0,sub_0000000003310040,
GSC-Function-4f437c0,function_2717b55f,0,1,0,sub_0000000003307B60,
GSC-Function-4f437c0,function_302bd0b9,0,0,0,sub_0000000003307BC0,
GSC-Function-4f437c0,function_6a9e36d6,0,0,0,sub_0000000003307D50,
GSC-Function-4f437c0,isplayernumber,1,1,0,sub_000000000334DBD0,
GSC-Function-4f437c0,setwinningplayer,1,1,0,sub_000000000334FCC0,
GSC-Function-4f437c0,setwinningteam,1,1,0,sub_000000000334FD70,
GSC-Function-4f437c0,announcement,2,7fffffff,0,sub_000000000334FE20,
GSC-Function-4f437c0,clientannouncement,2,7fffffff,0,sub_0000000003350040,
GSC-Function-4f437c0,getteamscore,1,1,0,sub_0000000003350160,
GSC-Function-4f437c0,setteamscore,2,2,0,sub_0000000003350190,
GSC-Function-4f437c0,setclientnamemode,1,1,0,sub_0000000003350250,
GSC-Function-4f437c0,updateclientnames,0,0,0,sub_0000000003350310,
GSC-Function-4f437c0,getteamplayersalive,1,1,0,sub_0000000003350590,
GSC-Function-4f437c0,getdroppedweapons,0,0,0,sub_0000000003352690,
GSC-Function-4f437c0,worldentnumber,0,0,0,sub_000000000330B430,
GSC-Function-4f437c0,beamlaunch,5,5,0,sub_000000000330B4B0,
GSC-Function-4f437c0,obituary,4,4,0,sub_000000000330B7E0,
GSC-Function-4f437c0,function_f887b191,3,4,0,sub_000000000330BA30,
GSC-Function-4f437c0,reviveobituary,1,1,0,sub_000000000330BC10,
GSC-Function-4f437c0,adddemobookmark,9,a,0,sub_000000000330E0B0,
GSC-Function-4f437c0,function_f539d880,0,0,0,sub_000000000330DFB0,
GSC-Function-4f437c0,stopdemorecording,0,0,0,sub_000000000330E080,
GSC-Function-4f437c0,positionwouldtelefrag,1,1,0,sub_000000000330E4D0,
GSC-Function-4f437c0,boundswouldtelefrag,2,2,0,sub_000000000330E690,
GSC-Function-4f437c0,recordusedspawnpoint,3,3,0,sub_000000000330E6F0,
GSC-Function-4f437c0,testspawnpoint,1,1,0,sub_00000000033569F0,
GSC-Function-4f437c0,getstarttime,0,0,0,sub_000000000330E7A0,
GSC-Function-4f437c0,map_restart,0,1,0,sub_0000000003356AC0,
GSC-Function-4f437c0,missionrestart,0,0,0,sub_0000000003356B70,
GSC-Function-4f437c0,missionfailed,0,0,0,sub_0000000003356B90,
GSC-Function-4f437c0,exitlevel,0,2,0,sub_0000000003356D10,
GSC-Function-4f437c0,killserver,0,0,0,sub_0000000003356E30,
GSC-Function-4f437c0,addtestclient,0,2,0,sub_0000000003356E80,
GSC-Function-4f437c0,setobjectivepointstatus,4,4,0,sub_0000000003359040,
GSC-Function-4f437c0,setbombtimer,2,2,0,sub_0000000003359050,
GSC-Function-4f437c0,function_4c27be22,1,1,0,sub_000000000335B260,
GSC-Function-4f437c0,setroundsplayed,1,1,0,sub_000000000335B310,
GSC-Function-4f437c0,setinitialplayersconnected,0,0,0,sub_000000000335D4E0,
GSC-Function-4f437c0,setmatchflag,2,2,0,sub_000000000335F740,
GSC-Function-4f437c0,setmatchtalkflag,2,2,0,sub_000000000335D4F0,
GSC-Function-4f437c0,setarchive,ffffffff,ffffffff,0,sub_000000000336C420,
GSC-Function-4f437c0,allclientsprint,1,1,0,sub_0000000003363C50,
GSC-Function-4f437c0,clientprint,2,2,0,sub_000000000336C390,
GSC-Function-4f437c0,mapexists,1,1,0,sub_0000000003365DE0,
GSC-Function-4f437c0,isvalidgametype,1,1,0,sub_0000000003365E10,
GSC-Function-4f437c0,skillupdate,0,2,0,sub_0000000003372810,
GSC-Function-4f437c0,function_ecfc02d0,0,0,0,sub_000000000338E520,
GSC-Function-4f437c0,setteamspyplane,2,2,0,sub_00000000033075B0,
GSC-Function-4f437c0,getteamspyplane,1,1,0,sub_0000000003307610,
GSC-Function-4f437c0,setteamsatellite,2,2,0,sub_0000000003307640,
GSC-Function-4f437c0,getteamsatellite,1,1,0,sub_00000000033076F0,
GSC-Function-4f437c0,getassignedteam,1,1,0,sub_00000000032DE710,
GSC-Function-4f437c0,getassignedteamname,1,1,0,sub_00000000032DE8A0,
GSC-Function-4f437c0,getdefaultclassslot,2,2,0,sub_0000000003305790,
GSC-Function-4f437c0,getitemattachment,2,2,0,sub_0000000003301440,
GSC-Function-4f437c0,getitemattachmentallocationcost,2,2,0,sub_0000000003305660,
GSC-Function-4f437c0,getitemgroupfromitemindex,1,1,0,sub_00000000032DECF0,
GSC-Function-4f437c0,getgametypeenumfromname,2,2,0,sub_00000000032DED30,
GSC-Function-4f437c0,setscoreboardcolumns,5,e,0,sub_0000000003344010,
GSC-Function-4f437c0,recordnumzombierounds,0,1,0,sub_0000000003307720,
GSC-Function-4f437c0,recordgameresult,0,1,0,sub_0000000003307770,
GSC-Function-4f437c0,finalizematchrecord,0,0,0,sub_0000000003307AA0,
GSC-Function-4f437c0,function_f8d53445,0,0,0,sub_0000000003307AB0,
GSC-Function-4f437c0,matchrecordroundend,0,0,0,sub_0000000003307BA0,
GSC-Function-4f437c0,matchrecordroundstart,0,0,0,sub_0000000003307B50,
GSC-Function-4f437c0,matchrecordovertimeround,0,0,0,sub_0000000003307BB0,
GSC-Function-4f437c0,gettouchingvolume,3,3,0,sub_00000000032DF020,
GSC-Function-4f437c0,getentitiesinradius,2,3,0,sub_00000000032E1420,
GSC-Function-4f437c0,getentities,0,0,0,sub_00000000032E39E0,
GSC-Function-4f437c0,getfirsttouchfraction,4,4,0,sub_00000000032E5AF0,
GSC-Function-4f437c0,recordmatchsummaryzombieendgamedata,0,4,0,sub_0000000003307C10,
GSC-Function-4f437c0,matchrecorderincrementheaderstat,0,2,0,sub_0000000003307ED0,
GSC-Function-4f437c0,recordzombieroundstart,0,0,0,sub_0000000003307D90,
GSC-Function-4f437c0,recordzombieroundend,0,0,0,sub_0000000003307E70,
GSC-Function-4f437c0,clearplayercorpses,0,0,0,sub_0000000003345380,
GSC-Function-4f437c0,function_7d6839ae,4,5,0,sub_0000000003343780,
GSC-Function-4f437c0,function_2d3f8777,3,4,0,sub_00000000033437F0,
GSC-Function-4f437c0,function_2fa975e0,5,6,0,sub_0000000003343B80,
GSC-Function-4f437c0,function_76f27db3,4,5,0,sub_0000000003343BF0,
GSC-Function-4f437c0,function_909b6ab,2,2,0,sub_0000000003343C00,
GSC-Function-4f437c0,function_22448d6c,1,1,0,sub_0000000003343C30,
GSC-Function-4f437c0,function_b37afded,2,2,0,sub_0000000003343C60,
GSC-Function-4f437c0,function_37d3bfcb,1,1,0,sub_0000000003343FB0,
GSC-Function-4f437c0,recordplayerstats,3,3,0,sub_00000000032D5DD0,
GSC-Function-4f437c0,recordplayermatchend,1,1,0,sub_00000000032D61F0,
GSC-Function-4f437c0,function_2c666d56,3,3,0,sub_00000000032D6450,
GSC-Function-4f437c0,recordmatchbegin,0,0,0,sub_00000000032D69B0,
GSC-Function-4f437c0,recordbreadcrumbdataforplayer,1,1,0,sub_00000000032D69C0,
GSC-Function-4f437c0,matchrecordnewplayer,1,1,0,sub_00000000032DE030,
GSC-Function-4f437c0,function_ad11630f,12,12,0,sub_00000000032D6B00,
GSC-Function-4f437c0,matchrecordlogadditionaldeathinfo,5,5,0,sub_00000000032D73F0,
GSC-Function-4f437c0,matchrecordlogspecialmovedataforlife,9,e,0,sub_00000000032DD4E0,
GSC-Function-4f437c0,matchrecordlogchallengecomplete,5,5,0,sub_00000000032DDC70,
GSC-Function-4f437c0,matchrecordsetcurrentlevelcomplete,0,0,0,sub_00000000032D5930,
GSC-Function-4f437c0,matchrecordsetleveldifficultyforindex,2,2,0,sub_00000000032D5980,
GSC-Function-4f437c0,matchrecordgetweaponindex,1,1,0,sub_00000000032D5940,
GSC-Function-4f437c0,function_f4f6d8a1,0,0,0,sub_000000000330DF70,
GSC-Function-4f437c0,setvotestring,1,1,0,sub_0000000003365E40,
GSC-Function-4f437c0,setvotetime,1,1,0,sub_0000000003367FC0,
GSC-Function-4f437c0,setvoteyescount,1,1,0,sub_0000000003368030,
GSC-Function-4f437c0,setvotenocount,1,1,0,sub_0000000003368080,
GSC-Function-4f437c0,arenagetslot,0,0,0,sub_00000000032D3410,
GSC-Function-4f437c0,arenagetcurrentseason,0,0,0,sub_00000000032D3460,
GSC-Function-4f437c0,function_654d64ea,0,0,0,sub_0000000003392440,
GSC-Function-4f437c0,function_a357a2b8,1,1,0,sub_0000000003390DD0,
