name
_invalid
none
score
kills
deaths
assists
defends
plants
defuses
returns
captures
objtime
destructions
disables
escorts
carries
throws
kadratio
survived
stabs
tomahawks
humiliated
x2score
headshots
downs
revives
agrkills
hacks
pointstowin
killsconfirmed
killsdenied
shotsmissed
shotshit
sbtimeplayed
victory
incaps
gems
skulls
chickens
cleandeposits
cleandenies
rolescore
objscore
damagedone
ability_power
equipment_power
ability_medal_count
equipment_medal_count
ekia
ekia_ratio
objectives
objective_ekia
highest_multiplier
cleanups
shot_accuracy
longest_kill
