id,name,location,itemsize,items,max,singleton,setname,getname,offset
0,physpreset,249c4ef1560,78,12,113,false,BlackOps4.exe+28a9610,BlackOps4.exe+28a9600,0
1,physconstraints,249c4ef9648,30,106,200,false,BlackOps4.exe+28a9630,BlackOps4.exe+28a9620,0
2,destructibledef,249c4eff648,40,1,80,false,BlackOps4.exe+28a9650,BlackOps4.exe+28a9640,0
3,xanim,249c4f01648,130,30d9,61a8,false,BlackOps4.exe+28a9670,BlackOps4.exe+28a9660,70
4,xmodel,249c5640dc8,150,183f,4000,false,BlackOps4.exe+28a9690,BlackOps4.exe+28a9680,0
5,xmodelmesh,249c5b80dc8,58,5c02,fa00,false,BlackOps4.exe+28a96b0,BlackOps4.exe+28a96a0,0
6,material,249c60dfdc8,138,4e15,a400,false,BlackOps4.exe+28a95f0,BlackOps4.exe+28a95e0,0
7,computeshaderset,249c6d5ddc8,20,a6,100,false,BlackOps4.exe+28a96d0,BlackOps4.exe+28a96c0,0
8,techset,249c6d5fdc8,a8,580,898,false,BlackOps4.exe+28a96f0,BlackOps4.exe+28a96e0,0
9,image,249c6dba188,88,e823,14e00,false,BlackOps4.exe+28a9710,BlackOps4.exe+28a9700,20
10,sound,249c78d1188,130,8,20,false,BlackOps4.exe+28a9730,BlackOps4.exe+,8
11,col_map,249c946b8b0,2d8,1,2,false,BlackOps4.exe+28a9750,BlackOps4.exe+28a9740,0
12,com_map,249c946be60,60,1,2,false,BlackOps4.exe+28a9770,BlackOps4.exe+28a9760,0
13,game_map,249c946bf20,60,1,2,false,BlackOps4.exe+28a9790,BlackOps4.exe+28a9780,0
14,gfx_map,249c946bfe0,1ab0,1,2,false,BlackOps4.exe+28a97b0,BlackOps4.exe+28a97a0,0
15,fonticon,249c78d3788,28,3,10,false,BlackOps4.exe+28a97d0,BlackOps4.exe+28a97c0,0
16,localizeentry,249c78d3a08,18,46c4,6400,false,BlackOps4.exe+28a97f0,BlackOps4.exe+28a97e0,8
17,localize,0,0,0,0,false,BlackOps4.exe+28a9810,BlackOps4.exe+28a9800,0
18,gesture,249c7969a08,208,258,800,false,BlackOps4.exe+28a9830,BlackOps4.exe+28a9820,0
19,gesturetable,249c7a6da08,68,2d,100,false,BlackOps4.exe+28a9850,BlackOps4.exe+28a9840,0
20,weapon,249c7a74208,1550,1ac,600,false,BlackOps4.exe+28a9870,BlackOps4.exe+28a9860,0
21,weaponfull,0,0,0,0,false,BlackOps4.exe+28a98a0,BlackOps4.exe+28a9880,na
22,weapontunables,249c8272208,1218,1b7,600,false,BlackOps4.exe+28a98c0,BlackOps4.exe+28a98b0,40
23,cgmediatable,249c8948888,688,2,6,false,BlackOps4.exe+28a98e0,BlackOps4.exe+28a98d0,0
24,playersoundstable,249c893b208,bc0,7,10,false,BlackOps4.exe+28a9900,BlackOps4.exe+28a98f0,0
25,playerfxtable,249c8946e08,a8,4,10,false,BlackOps4.exe+28a9920,BlackOps4.exe+28a9910,0
26,sharedweaponsounds,249c9271a08,228,34,50,false,BlackOps4.exe+28a9940,BlackOps4.exe+28a9930,0
27,attachment,249c894afb8,450,18b,200,false,BlackOps4.exe+28a9960,BlackOps4.exe+28a9950,0
28,attachmentunique,249c89d4fb8,960,671,a00,false,BlackOps4.exe+28a9980,BlackOps4.exe+28a9970,0
29,weaponcamo,249c8fb0fb8,20,44,200,false,BlackOps4.exe+28a99a0,BlackOps4.exe+28a9990,0
30,customizationtable,249c8fb4fb8,30,5,8,false,BlackOps4.exe+28a99c0,BlackOps4.exe+28a99b0,0
31,customizationtable_feimages,249c8fb5138,20,4,8,false,BlackOps4.exe+28a99e0,BlackOps4.exe+28a99d0,0
32,snddriverglobals,249c8fb5238,80,1,1,false,BlackOps4.exe+28a9a00,BlackOps4.exe+28a99f0,0
33,fx,249c8fb52b8,a0,8b8,1000,false,BlackOps4.exe+28a9a20,BlackOps4.exe+28a9a10,0
34,tagfx,249c8947888,20,59,80,false,BlackOps4.exe+28a9a40,BlackOps4.exe+28a9a30,0
35,klf,249c90552b8,d8,33,73,false,BlackOps4.exe+28a9a60,BlackOps4.exe+28a9a50,18
36,impactsfxtable,249c905b3c0,20,47,100,false,BlackOps4.exe+28a9a80,BlackOps4.exe+28a9a70,0
37,impactsoundstable,249c905d3c0,38,23,50,false,BlackOps4.exe+28a9aa0,BlackOps4.exe+28a9a90,0
38,aitype,249c905e540,f00,1,7f,false,BlackOps4.exe+28a9ac0,BlackOps4.exe+28a9ab0,0
39,character,249c90d5640,280,1c,c8,false,BlackOps4.exe+28a9ae0,BlackOps4.exe+28a9ad0,0
40,xmodelalias,249c90f4a40,1a0,2,96,false,BlackOps4.exe+28a9b00,BlackOps4.exe+28a9af0,0
41,rawfile,249c9103e00,20,84,3e8,false,BlackOps4.exe+28a9b20,BlackOps4.exe+28a9b10,0
42,animtree,249c910bb00,30,2,3,false,BlackOps4.exe+28a9b40,BlackOps4.exe+28a9b30,0
