id,name,location,itemsize,items,max,singleton,setname,getname,offset
43,stringtable,249c910bb90,40,c2,dc,false,BlackOps4.exe+28a9b60,BlackOps4.exe+28a9b50,0
44,structuredtable,249c910f290,40,5,60,false,BlackOps4.exe+28a9b80,BlackOps4.exe+28a9b70,0
45,leaderboarddef,249c9110a90,38,3f,80,false,BlackOps4.exe+28a9ba0,BlackOps4.exe+28a9b90,0
46,ddl,249c9112690,58,141,18b,false,BlackOps4.exe+28a9bc0,BlackOps4.exe+28a9bb0,0
47,glasses,249c911ae58,58,1,2,false,BlackOps4.exe+28a9be0,BlackOps4.exe+28a9bd0,0
48,scriptparsetree,249c911af08,20,1dd,7d0,false,BlackOps4.exe+28a9c00,BlackOps4.exe+28a9bf0,0
49,scriptparsetreedbg,249c912a908,28,0,7d0,false,BlackOps4.exe+28a9c20,BlackOps4.exe+28a9c10,0
50,scriptparsetreeforced,249c913e188,28,4,c,false,BlackOps4.exe+28a9c40,BlackOps4.exe+28a9c30,0
51,keyvaluepairs,249c913e368,20,f,40,false,BlackOps4.exe+28a9c60,BlackOps4.exe+28a9c50,0
52,vehicle,249c913eb68,1a30,1,80,false,BlackOps4.exe+28a9c80,BlackOps4.exe+28a9c70,0
53,tracer,249c9210368,d8,2e,64,false,BlackOps4.exe+28a9ca0,BlackOps4.exe+28a9c90,0
54,surfacefxtable,249c92157c8,150,28,74,false,BlackOps4.exe+28a9cc0,BlackOps4.exe+28a9cb0,0
55,surfacesounddef,249c921f008,290,b1,200,false,BlackOps4.exe+28a9ce0,BlackOps4.exe+28a9cd0,0
56,footsteptable,249c9271008,50,f,20,false,BlackOps4.exe+28a9d00,BlackOps4.exe+28a9cf0,0
57,entityfximpacts,249c927c688,250,34,100,false,BlackOps4.exe+28a9d20,BlackOps4.exe+28a9d10,0
58,entitysoundimpacts,249c92a1688,490,78,100,false,BlackOps4.exe+28a9d40,BlackOps4.exe+28a9d30,0
59,zbarrier,249c92ea688,540,0,10,false,BlackOps4.exe+28a9d60,BlackOps4.exe+28a9d50,0
60,vehiclefxdef,249c92efa88,3e0,1,20,false,BlackOps4.exe+28a9d80,BlackOps4.exe+28a9d70,0
61,vehiclesounddef,249c92f7688,1020,1,20,false,BlackOps4.exe+28a9da0,BlackOps4.exe+28a9d90,0
62,typeinfo,0,0,0,0,false,BlackOps4.exe+28a9dc0,BlackOps4.exe+28a9db0,0
63,scriptbundle,249c9317a88,40,f3e,1450,false,BlackOps4.exe+28a9de0,BlackOps4.exe+28a9dd0,0
64,scriptbundlelist,249c9368e88,20,89,96,false,BlackOps4.exe+28a9e00,BlackOps4.exe+28a9df0,0
65,rumble,249c936a148,48,7d,100,false,BlackOps4.exe+28a9e20,BlackOps4.exe+28a9e10,0
66,bulletpenetration,249c936e948,1f0,0,1,false,BlackOps4.exe+28a9e40,BlackOps4.exe+28a9e30,0
67,locdmgtable,249c936eb38,68,0,1,false,BlackOps4.exe+28a9e60,BlackOps4.exe+28a9e50,0
68,aimtable,249c936eba0,330,2,c,false,BlackOps4.exe+28a9e80,BlackOps4.exe+28a9e70,0
69,shoottable,249c93711e0,3f8,0,c,false,BlackOps4.exe+28a9ea0,BlackOps4.exe+28a9e90,0
70,playerglobaltunables,249c9374180,1028,5,8,false,BlackOps4.exe+28a9ec0,BlackOps4.exe+28a9eb0,0
71,animselectortable,249c937c2c0,20,2,40,false,BlackOps4.exe+28a9ee0,BlackOps4.exe+28a9ed0,0
72,animmappingtable,249c937cac0,20,2,40,false,BlackOps4.exe+28a9f00,BlackOps4.exe+28a9ef0,0
73,animstatemachine,249c937d2c0,40,1,40,false,BlackOps4.exe+28a9f20,BlackOps4.exe+28a9f10,0
74,behaviortree,249c937e2c0,30,1,40,false,BlackOps4.exe+28a9f40,BlackOps4.exe+28a9f30,0
75,behaviorstatemachine,249c937eec0,20,1,80,false,BlackOps4.exe+28a9f60,BlackOps4.exe+28a9f50,0
76,ttf,249c937fec0,50,11,30,false,BlackOps4.exe+28a9f80,BlackOps4.exe+28a9f70,0
77,sanim,249c9380dc0,78,4,400,false,BlackOps4.exe+28a9fa0,BlackOps4.exe+28a9f90,8
78,lightdescription,249c939edc0,268,100,258,false,BlackOps4.exe+28a9fc0,BlackOps4.exe+28a9fb0,0
79,shellshock,249c93f9180,c0,1f,40,false,BlackOps4.exe+28a9fe0,BlackOps4.exe+28a9fd0,0
80,statuseffect,249c93fc180,250,21,64,false,BlackOps4.exe+28aa000,BlackOps4.exe+28a9ff0,0
81,cinematic_camera,249c940a8c0,78,1,60,false,BlackOps4.exe+28aa020,BlackOps4.exe+28aa010,0
82,cinematic_sequence,249c940d5c0,20,1,40,false,BlackOps4.exe+28aa040,BlackOps4.exe+28aa030,0
83,spectate_camera,249c940ddc0,20,0,6,false,BlackOps4.exe+28aa060,BlackOps4.exe+28aa050,0
84,xcam,249c940de80,c0,145,400,false,BlackOps4.exe+28aa080,BlackOps4.exe+28aa070,0
85,bgcache,249c943de80,20,6,20,false,BlackOps4.exe+28aa0a0,BlackOps4.exe+28aa090,0
86,texturecombo,249c943e280,a0,3,10,false,BlackOps4.exe+28aa0c0,BlackOps4.exe+28aa0b0,0
87,flametable,249c943ec80,240,2,10,false,BlackOps4.exe+28aa0f0,BlackOps4.exe+28aa0d0,1B0
88,bitfield,249c9441080,28,1b,4b,false,BlackOps4.exe+28aa110,BlackOps4.exe+28aa100,0
89,maptable,249c9441c38,30,10,19,false,BlackOps4.exe+28aa130,BlackOps4.exe+28aa120,0
90,maptablelist,249c94420e8,90,2,2,false,BlackOps4.exe+28aa150,BlackOps4.exe+28aa140,0
91,maptableloadingimages,249c9442208,28,f,19,false,BlackOps4.exe+28aa170,BlackOps4.exe+28aa160,0
92,maptablepreviewimages,249c94425f0,28,e,19,false,BlackOps4.exe+28aa190,BlackOps4.exe+28aa180,0
93,maptableentrylevelassets,249c94429d8,68,2,4,false,BlackOps4.exe+28aa1b0,BlackOps4.exe+28aa1a0,0
94,objective,249c9442b78,110,3,100,false,BlackOps4.exe+28aa1d0,BlackOps4.exe+28aa1c0,0
95,objectivelist,249c9453b78,20,1,40,false,BlackOps4.exe+28aa1f0,BlackOps4.exe+28aa1e0,0
96,navmesh,249c9454378,78,1,2,false,BlackOps4.exe+28aa210,BlackOps4.exe+28aa200,0
97,navvolume,249c9454468,50,0,2,false,BlackOps4.exe+28aa230,BlackOps4.exe+28aa220,0
98,laser,249c9454508,78,3,32,false,BlackOps4.exe+28aa250,BlackOps4.exe+28aa240,0
99,beam,249c9455c78,4d8,21,41,false,BlackOps4.exe+28aa270,BlackOps4.exe+28aa260,0
100,streamerhint,249c9469750,30,16,32,false,BlackOps4.exe+28aa290,BlackOps4.exe+28aa280,0
101,flowgraph,249c946a0b0,30,0,80,false,BlackOps4.exe+28aa2b0,BlackOps4.exe+28aa2a0,0
102,postfxbundle,249c946f540,38,1c,200,false,BlackOps4.exe+28aa2d0,BlackOps4.exe+28aa2c0,0
103,luafile,249c947b140,20,bcb,1388,false,BlackOps4.exe+28aa2f0,BlackOps4.exe+28aa2e0,0
104,luafiledebug,249c94a2240,20,0,1388,false,BlackOps4.exe+28aa310,BlackOps4.exe+28aa300,0
105,renderoverridebundle,249c9476540,98,1c,80,false,BlackOps4.exe+28aa330,BlackOps4.exe+28aa320,0
106,staticlevelfxlist,249c94c9340,30,1,2,false,BlackOps4.exe+28aa350,BlackOps4.exe+28aa340,0
107,triggerlist,249c94c93a0,50,1,2,false,BlackOps4.exe+28aa370,BlackOps4.exe+28aa360,0
108,playerroletemplate,249c94c9440,1b8,7a,100,false,BlackOps4.exe+28aa390,BlackOps4.exe+28aa380,0
109,playerrolecategorytable,249c94e4c40,20,2,4,false,BlackOps4.exe+28aa3b0,BlackOps4.exe+28aa3a0,0
110,playerrolecategory,249c94e4cc0,60,5,a,false,BlackOps4.exe+28aa3d0,BlackOps4.exe+28aa3c0,0
111,characterbodytype,249c94e5080,158,77,100,false,BlackOps4.exe+28aa3f0,BlackOps4.exe+28aa3e0,0
112,playeroutfit,249c94fa880,100,24e,280,false,BlackOps4.exe+28aa410,BlackOps4.exe+28aa400,0
113,gametypetable,249c9523200,28,4,8,false,BlackOps4.exe+28aa430,BlackOps4.exe+28aa420,0
114,feature,249c9522880,20,0,1,false,BlackOps4.exe+28aa450,BlackOps4.exe+28aa440,0
115,featuretable,249c95228a0,18,1,64,false,BlackOps4.exe+28aa470,BlackOps4.exe+28aa460,0
116,unlockableitem,249c9523340,140,20a,400,false,BlackOps4.exe+28aa490,BlackOps4.exe+28aa480,8
117,unlockableitemtable,249c9573340,50,2,4,false,BlackOps4.exe+28aa4b0,BlackOps4.exe+28aa4a0,0
118,entitylist,249c9573480,20,1,2,false,BlackOps4.exe+28aa4d0,BlackOps4.exe+28aa4c0,0
119,playlists,249c95734c0,50,4,6,false,BlackOps4.exe+28aa4f0,BlackOps4.exe+28aa4e0,10
120,playlistglobalsettings,249c95736a0,28,1,4,false,BlackOps4.exe+28aa510,BlackOps4.exe+28aa500,8
121,playlistschedule,249c9573740,38,2,4,false,BlackOps4.exe+28aa530,BlackOps4.exe+28aa520,8
122,motionmatchinginput,249c9573820,1a8,5,40,false,BlackOps4.exe+28aa550,BlackOps4.exe+28aa540,0
123,blackboard,249c957a220,20,1,1,false,BlackOps4.exe+28aa570,BlackOps4.exe+28aa560,0
124,tacticalquery,249c957a240,5b0,f,80,false,BlackOps4.exe+28aa590,BlackOps4.exe+28aa580,0
125,playermovementtunables,249c95a7a40,60,7,80,false,BlackOps4.exe+28aa5b0,BlackOps4.exe+28aa5a0,0
126,hierarchicaltasknetwork,249c95aaa40,20,e,40,false,BlackOps4.exe+28aa5d0,BlackOps4.exe+28aa5c0,0
127,ragdoll,249c95ab240,bb8,4,20,false,BlackOps4.exe+28aa600,BlackOps4.exe+28aa5e0,BA0
128,storagefile,249c95c2940,60,29,30,false,BlackOps4.exe+28aa620,BlackOps4.exe+28aa610,8
129,storagefilelist,249c95c3b40,20,2,2,false,BlackOps4.exe+28aa640,BlackOps4.exe+28aa630,0
130,charmixer,249c95c3b80,18,0,a,false,BlackOps4.exe+28aa660,BlackOps4.exe+28aa650,0
131,storeproduct,249c95c3c70,c8,4b,60,false,BlackOps4.exe+28aa680,BlackOps4.exe+28aa670,0
132,storecategory,249c95c8770,48,f,10,false,BlackOps4.exe+28aa6a0,BlackOps4.exe+28aa690,8
133,storecategorylist,249c95c8bf0,20,3,4,false,BlackOps4.exe+28aa6c0,BlackOps4.exe+28aa6b0,0
134,rank,249c95c8c70,70,cc,100,false,BlackOps4.exe+28aa6e0,BlackOps4.exe+28aa6d0,0
135,ranktable,249c95cfc70,20,5,a,false,BlackOps4.exe+28aa700,BlackOps4.exe+28aa6f0,0
136,prestige,249c95cfdb0,40,9d,100,false,BlackOps4.exe+28aa720,BlackOps4.exe+28aa710,0
137,prestigetable,249c95d3db0,20,6,a,false,BlackOps4.exe+28aa740,BlackOps4.exe+28aa730,0
138,firstpartyentitlement,249c95d3ef0,28,15,40,false,BlackOps4.exe+28aa760,BlackOps4.exe+28aa750,0
139,firstpartyentitlementlist,249c95d48f0,20,2,4,false,BlackOps4.exe+28aa780,BlackOps4.exe+28aa770,0
140,entitlement,249c95d4970,60,37,40,false,BlackOps4.exe+28aa7a0,BlackOps4.exe+28aa790,0
141,entitlementlist,249c95d6170,20,2,4,false,BlackOps4.exe+28aa7c0,BlackOps4.exe+28aa7b0,0
142,sku,249c95d61f0,18,2,40,false,BlackOps4.exe+28aa7e0,BlackOps4.exe+28aa7d0,0
143,labelstore,249c95d67f0,20,2,8,false,BlackOps4.exe+28aa800,BlackOps4.exe+28aa7f0,0
144,labelstorelist,249c95d68f0,20,2,4,false,BlackOps4.exe+28aa820,BlackOps4.exe+28aa810,0
145,cpu_occlusion_data,249c95d6970,60,2,4,false,BlackOps4.exe+28aa840,BlackOps4.exe+28aa830,0
146,lighting,249c95d6af0,1f8,1,2,false,BlackOps4.exe+28aa860,BlackOps4.exe+28aa850,0
147,streamerworld,249c95d6ee0,100,1,2,false,BlackOps4.exe+28aa880,BlackOps4.exe+28aa870,0
148,talent,249c95d70e0,138,30,100,false,BlackOps4.exe+28aa8a0,BlackOps4.exe+28aa890,0
149,playertalenttemplate,249c95ea8e0,30,4,40,false,BlackOps4.exe+28aa8c0,BlackOps4.exe+28aa8b0,0
150,playeranimation,249c95eb4e0,60,1,4,false,BlackOps4.exe+28aa8e0,BlackOps4.exe+28aa8d0,0
151,<unused>,0,0,0,0,false,BlackOps4.exe+28aa910,BlackOps4.exe+28aa8f0,na
152,terraingfx,249c95eb660,b8,1,2,false,BlackOps4.exe+28aa930,BlackOps4.exe+28aa920,0
153,highlightreelinfodefines,249c95eb7d0,28,0,6,false,BlackOps4.exe+28aa950,BlackOps4.exe+28aa940,0
154,highlightreelprofileweighting,249c95eb8c0,20,0,6,false,BlackOps4.exe+28aa970,BlackOps4.exe+28aa960,0
155,highlightreelstarlevels,249c95eb980,20,0,6,false,BlackOps4.exe+28aa990,BlackOps4.exe+28aa980,0
156,dlogevent,249c95eba40,70,10c,140,false,BlackOps4.exe+28aa9b0,BlackOps4.exe+28aa9a0,8
157,rawstring,249c95f4640,18,63,100,false,BlackOps4.exe+28aa9d0,BlackOps4.exe+28aa9c0,0
158,ballisticdesc,249c95f5e40,28,9,40,false,BlackOps4.exe+28aa9f0,BlackOps4.exe+28aa9e0,0
159,streamkey,249c95f6840,48,67e,a000,false,BlackOps4.exe+28aaa10,BlackOps4.exe+28aaa00,0
160,rendertargets,249c98c6840,20,1,2,false,BlackOps4.exe+28aaa30,BlackOps4.exe+28aaa20,0
161,drawnodes,249c98c6880,20,1,2,false,BlackOps4.exe+28aaa50,BlackOps4.exe+28aaa40,0
162,grouplodmodel,249c98c68c0,30,1,1000,false,BlackOps4.exe+28aaa70,BlackOps4.exe+28aaa60,0
163,fxlibraryvolume,249c98f68c0,e60,0,14,false,BlackOps4.exe+28aaa90,BlackOps4.exe+28aaa80,0
164,arenaseasons,249c9908840,38,3,4,false,BlackOps4.exe+28aaab0,BlackOps4.exe+28aaaa0,8
165,sprayorgestureitem,249c9908920,60,194,800,false,BlackOps4.exe+28aaad0,BlackOps4.exe+28aaac0,0
166,sprayorgesturelist,249c9938920,20,2,40,false,BlackOps4.exe+28aaaf0,BlackOps4.exe+28aaae0,0
167,hwplatform,249c9939120,70,5,8,false,BlackOps4.exe+28aab10,BlackOps4.exe+28aab00,0
