pool,func,minargs,maxargs,type,address,definition
GSC-Function-d7b8d60,createthreatbiasgroup,1,1,0,BlackOpsColdWar.exe+76b2350,
GSC-Function-d7b8d60,threatbiasgroupexists,1,1,0,BlackOpsColdWar.exe+76b2370,
GSC-Function-d7b8d60,getthreatbias,2,2,0,BlackOpsColdWar.exe+76b23a0,
GSC-Function-d7b8d60,setthreatbias,3,3,0,BlackOpsColdWar.exe+76b2440,
GSC-Function-d7b8d60,setthreatbiasagainstall,2,2,0,BlackOpsColdWar.exe+76b24f0,
GSC-Function-d7b8d60,setignoremegroup,2,2,0,BlackOpsColdWar.exe+76b2550,
GSC-Function-d7b8d60,resetvisibilitycachewithinradius,2,2,0,BlackOpsColdWar.exe+76b36e0,
GSC-Function-d7b8d60,function_aebf36c,2,84,0,BlackOpsColdWar.exe+76b3440,
GSC-Function-deb19b0,spawn,2,7,0,BlackOpsColdWar.exe+3b56700,
GSC-Function-deb19b0,spawncollision,4,4,0,BlackOpsColdWar.exe+3b69df0,
GSC-Function-deb19b0,spawntimedfx,2,6,0,BlackOpsColdWar.exe+3b6a660,
GSC-Function-deb19b0,spawnactor,3,7,0,BlackOpsColdWar.exe+3cde010,
GSC-Function-deb19b0,spawnvehicle,3,9,0,BlackOpsColdWar.exe+3b6a1a0,
GSC-Function-deb19b0,spawnweapon,3,4,0,BlackOpsColdWar.exe+3ce80c0,
GSC-Function-deb19b0,spawnstruct,0,0,0,BlackOpsColdWar.exe+3c9ab70,
GSC-Function-deb19b0,getentbynum,1,1,0,BlackOpsColdWar.exe+3b23b00,
GSC-Function-deb19b0,getbrushmodelcenter,1,1,0,BlackOpsColdWar.exe+3b56680,
GSC-Function-deb19b0,getdemofileid,0,0,0,BlackOpsColdWar.exe+3b1a0c0,
GSC-Function-deb19b0,getmatchid,0,0,0,BlackOpsColdWar.exe+3b1a1c0,
GSC-Function-deb19b0,function_594b64a4,1,3,0,BlackOpsColdWar.exe+3b0abb0,
GSC-Function-deb19b0,function_b7e4f9d,1,3,0,BlackOpsColdWar.exe+3b0ac80,
GSC-Function-deb19b0,function_c65231e2,1,3,0,BlackOpsColdWar.exe+3b0aeb0,
GSC-Function-deb19b0,function_a1cff525,1,3,0,BlackOpsColdWar.exe+3b0b170,
GSC-Function-deb19b0,getplayers,0,3,0,BlackOpsColdWar.exe+3b0b330,
GSC-Function-deb19b0,function_a1ef346b,0,3,0,BlackOpsColdWar.exe+3b0b400,
GSC-Function-deb19b0,getenemyplayers,0,3,0,BlackOpsColdWar.exe+3b0b410,
GSC-Function-deb19b0,function_f6f34851,0,3,0,BlackOpsColdWar.exe+3b0b4b0,
GSC-Function-deb19b0,getfriendlyplayers,0,3,0,BlackOpsColdWar.exe+3b0b570,
GSC-Function-deb19b0,function_8c4b101f,0,3,0,BlackOpsColdWar.exe+3b0b580,
GSC-Function-deb19b0,function_58385b58,0,3,0,BlackOpsColdWar.exe+3b0b590,
GSC-Function-deb19b0,function_b16926ea,0,3,0,BlackOpsColdWar.exe+3b0b620,
GSC-Function-deb19b0,countplayers,0,1,0,BlackOpsColdWar.exe+3b0b630,
GSC-Function-deb19b0,getdamageableentarray,0,3,0,BlackOpsColdWar.exe+7384e90,
GSC-Function-deb19b0,mayspawnfakeentity,0,0,0,BlackOpsColdWar.exe+3c95a10,
GSC-Function-deb19b0,mayspawnentity,0,0,0,BlackOpsColdWar.exe+3c95a40,
GSC-Function-deb19b0,function_210c40b8,0,0,0,BlackOpsColdWar.exe+3c95a90,
GSC-Function-deb19b0,function_d59a3443,0,1,0,BlackOpsColdWar.exe+3cde3b0,
GSC-Function-deb19b0,objective_add,4,5,0,BlackOpsColdWar.exe+3c35ea0,
GSC-Function-deb19b0,objective_delete,1,1,0,BlackOpsColdWar.exe+3c443c0,
GSC-Function-deb19b0,objective_state,1,1,0,BlackOpsColdWar.exe+3c44460,
GSC-Function-deb19b0,objective_setstate,2,2,0,BlackOpsColdWar.exe+3c490a0,
GSC-Function-deb19b0,objective_position,1,1,0,BlackOpsColdWar.exe+3c529c0,
GSC-Function-deb19b0,function_cc3ada06,1,1,0,BlackOpsColdWar.exe+3c52c20,
GSC-Function-deb19b0,objective_setposition,2,2,0,BlackOpsColdWar.exe+3c57930,
GSC-Function-deb19b0,objective_onentity,2,2,0,BlackOpsColdWar.exe+3c57ce0,
GSC-Function-deb19b0,objective_clearentity,1,1,0,BlackOpsColdWar.exe+3c57e50,
GSC-Function-deb19b0,function_9a8950ee,2,2,0,BlackOpsColdWar.exe+3c57ee0,
GSC-Function-deb19b0,objective_setvisibletoplayer,2,2,0,BlackOpsColdWar.exe+3c57fe0,
GSC-Function-deb19b0,objective_setinvisibletoplayer,2,2,0,BlackOpsColdWar.exe+3c583d0,
GSC-Function-deb19b0,objective_setvisibletoplayerbyindex,2,2,0,BlackOpsColdWar.exe+3c58620,
GSC-Function-deb19b0,objective_setinvisibletoplayerbyindex,2,2,0,BlackOpsColdWar.exe+3c586a0,
GSC-Function-deb19b0,function_29ef32ee,2,2,0,BlackOpsColdWar.exe+3c58930,
GSC-Function-deb19b0,function_c939fac4,2,2,0,BlackOpsColdWar.exe+3c589c0,
GSC-Function-deb19b0,function_56da7367,2,2,0,BlackOpsColdWar.exe+3c58ab0,
GSC-Function-deb19b0,function_41c13c12,2,2,0,BlackOpsColdWar.exe+3c58cb0,
GSC-Function-deb19b0,objective_setvisibletoall,1,1,0,BlackOpsColdWar.exe+3c59130,
GSC-Function-deb19b0,objective_setinvisibletoall,1,1,0,BlackOpsColdWar.exe+3c59280,
GSC-Function-deb19b0,function_a7dbc494,1,1,0,BlackOpsColdWar.exe+3c59470,
GSC-Function-deb19b0,function_56ad6a7a,1,1,0,BlackOpsColdWar.exe+3c59640,
GSC-Function-deb19b0,function_6da98133,1,1,0,BlackOpsColdWar.exe+3c596a0,
GSC-Function-deb19b0,function_4339912c,1,1,0,BlackOpsColdWar.exe+3c59850,
GSC-Function-deb19b0,function_6b1999e6,1,1,0,BlackOpsColdWar.exe+3c598c0,
GSC-Function-deb19b0,function_b7ce72f7,1,1,0,BlackOpsColdWar.exe+3c59920,
GSC-Function-deb19b0,objective_setprogress,2,2,0,BlackOpsColdWar.exe+3c5a1a0,
GSC-Function-deb19b0,objective_setgamemodeflags,2,2,0,BlackOpsColdWar.exe+3c5a8c0,
GSC-Function-deb19b0,objective_getgamemodeflags,1,1,0,BlackOpsColdWar.exe+3c5aa70,
GSC-Function-deb19b0,objective_setplayerusing,2,2,0,BlackOpsColdWar.exe+3c599a0,
GSC-Function-deb19b0,objective_clearplayerusing,2,2,0,BlackOpsColdWar.exe+3c59ca0,
GSC-Function-deb19b0,objective_clearallusing,1,1,0,BlackOpsColdWar.exe+3c5a090,
GSC-Function-deb19b0,objective_team,1,1,0,BlackOpsColdWar.exe+3c5ac10,
GSC-Function-deb19b0,function_9fbbd002,3,3,0,BlackOpsColdWar.exe+3c5a5c0,
GSC-Function-deb19b0,objective_setteam,2,2,0,BlackOpsColdWar.exe+3c5ad90,
GSC-Function-deb19b0,function_89a648ee,2,2,0,BlackOpsColdWar.exe+3c5af20,
GSC-Function-deb19b0,function_18fbab10,2,2,0,BlackOpsColdWar.exe+3c5b130,
GSC-Function-deb19b0,function_3ae6fa3,3,3,0,BlackOpsColdWar.exe+3c58930,
GSC-Function-deb19b0,function_da7940a3,2,2,0,BlackOpsColdWar.exe+3c596a0,
GSC-Function-deb19b0,objective_setuimodelvalue,3,3,0,BlackOpsColdWar.exe+3c702e0,
GSC-Function-deb19b0,objective_getrequiredspecialty,1,1,0,BlackOpsColdWar.exe+3c5b610,
GSC-Function-deb19b0,function_1fce1758,1,1,0,BlackOpsColdWar.exe+3c6afc0,
GSC-Function-deb19b0,function_464c3671,1,2,0,BlackOpsColdWar.exe+3c6b180,
GSC-Function-deb19b0,function_6fc9795b,1,1,0,BlackOpsColdWar.exe+3c6a830,
GSC-Function-deb19b0,function_c49f39df,1,1,0,BlackOpsColdWar.exe+3c6aba0,
GSC-Function-deb19b0,missile_createattractorent,3,5,0,BlackOpsColdWar.exe+749c5f0,
GSC-Function-deb19b0,missile_createattractororigin,3,5,0,BlackOpsColdWar.exe+749c700,
GSC-Function-deb19b0,missile_createrepulsorent,3,5,0,BlackOpsColdWar.exe+749c810,
GSC-Function-deb19b0,missile_createrepulsororigin,3,5,0,BlackOpsColdWar.exe+749c910,
GSC-Function-deb19b0,missile_deleteattractor,1,1,0,BlackOpsColdWar.exe+749ca20,
GSC-Function-deb19b0,bullettrace,4,7,0,BlackOpsColdWar.exe+3c90820,
GSC-Function-deb19b0,groundtrace,4,6,0,BlackOpsColdWar.exe+3c9b000,
GSC-Function-deb19b0,beamtrace,4,8,0,BlackOpsColdWar.exe+3c8b220,
GSC-Function-deb19b0,bullettracepassed,4,8,0,BlackOpsColdWar.exe+3ca0700,
GSC-Function-deb19b0,sighttracepassed,4,5,0,BlackOpsColdWar.exe+3ca5ac0,
GSC-Function-deb19b0,physicstrace,2,7,0,BlackOpsColdWar.exe+3ca6430,
GSC-Function-deb19b0,function_e6ba3ec9,3,4,0,BlackOpsColdWar.exe+3cab720,
GSC-Function-deb19b0,function_7637f5ce,2,4,0,BlackOpsColdWar.exe+3cb5950,
GSC-Function-deb19b0,playerphysicstrace,2,2,0,BlackOpsColdWar.exe+3cbada0,
GSC-Function-deb19b0,playerphysicstraceignoreent,3,3,0,BlackOpsColdWar.exe+3cbaf30,
