id,name,func
0,setupCrosshairOccluder,BlackOps4.exe+43f18c0
1,setupWingsuitClientIcon,BlackOps4.exe+43f3f30
2,setupParachuteClientIcon,BlackOps4.exe+43f2c60
3,setupBNetCheckoutElementCloseButtonArea,BlackOps4.exe+43f0ce0
4,setupBNetCheckoutElementBorderBackground,BlackOps4.exe+43f0c80
5,setupBNetCheckoutElement,BlackOps4.exe+43f0c10
6,setupRemoteMissileTarget,BlackOps4.exe+43f2f20
7,setupFreeCursor,BlackOps4.exe+43f1ff0
8,setupGrenadeWarning,BlackOps4.exe+43f2190
9,setupGeneric3DWidget,BlackOps4.exe+43f20f0
10,setGraphMode,BlackOps4.exe+43f09b0
11,setupRenderGraph,BlackOps4.exe+43f2f90
12,setupSpinner,BlackOps4.exe+43f3190
13,isMoviePaused,BlackOps4.exe+43f06b0
14,setupTwitchStreamPlayback,BlackOps4.exe+43f31c0
15,setupCurrentMoviePlayback,BlackOps4.exe+43f1a00
16,setupMoviePlayback,BlackOps4.exe+43f2650
17,setupCoreMoviePlayback,BlackOps4.exe+43f1570
18,setupCinematicSubtitles,BlackOps4.exe+43f14c0
19,setupNineSliceShader,BlackOps4.exe+43f28f0
20,setupWCFileshareIconExtraCamRender,BlackOps4.exe+43f37c0
21,setupWCPaintjobIconExtraCamRender,BlackOps4.exe+43f3b50
22,setupCharacterExtraCamRenderForHeroIndex,BlackOps4.exe+43f0ea0
23,setupCharacterGenderRender,BlackOps4.exe+43f0f00
24,setupCharacterHeadRender,BlackOps4.exe+43f10a0
25,setupCharacterItemRender,BlackOps4.exe+43f11e0
26,setupCurrentCharacterRender,BlackOps4.exe+43f1940
27,setupCharacterExtraCamHeadshotRender,BlackOps4.exe+43f0db0
28,setupImageViewer,BlackOps4.exe+43f2490
29,setupCredit,BlackOps4.exe+43f1790
30,setupDemoTimeline,BlackOps4.exe+43f1b60
31,setupBombTimer,BlackOps4.exe+43f0d10
32,setEndTimerUsePartialSeconds,BlackOps4.exe+43f0740
33,setupEndTimer,BlackOps4.exe+43f1e80
34,setupPrematchTimer,BlackOps4.exe+43f2e00
35,setupPlayerGamertag,BlackOps4.exe+43f2d90
36,setupServerTime,BlackOps4.exe+43f30e0
37,setupGameTimerMinutes,BlackOps4.exe+43f2090
38,setupGameTimerSeconds,BlackOps4.exe+43f20c0
39,setupGameTimer,BlackOps4.exe+43f2060
40,clearEntityMidpoint,BlackOps4.exe+43f05b0
41,setEntityContainerScale,BlackOps4.exe+43f08a0
42,setEntityContainerStopUpdating,BlackOps4.exe+43f0910
43,setEntityContainerObjectiveID,BlackOps4.exe+43f0840
44,setEntityContainerClamp,BlackOps4.exe+43f07b0
45,setupOverheadNameContainer,BlackOps4.exe+43f2a40
46,setupActorOverheadName,BlackOps4.exe+43f0b70
47,setupOverheadNameFrontend,BlackOps4.exe+43f2ae0
48,setupOverheadNameDraft,BlackOps4.exe+43f2a70
49,isOverheadNameRendering,BlackOps4.exe+43f0700
50,setupOverheadName,BlackOps4.exe+43f29c0
51,setupWeaponAttachmentFlyoutConnector,BlackOps4.exe+43f3f00
52,setupWeaponAttachmentFlyout,BlackOps4.exe+43f3e80
53,setupEntityContainer,BlackOps4.exe+43f1f00
54,setupWaypointContainerParent,BlackOps4.exe+43f3e50
55,setupWaypointContainer,BlackOps4.exe+43f3d50
56,setupXCamMouseControl,BlackOps4.exe+43f3f90
57,setup3dPointer,BlackOps4.exe+43f0b00
58,setupLibPNGImage,BlackOps4.exe+43f2570
59,setupGroupEmblem,BlackOps4.exe+43f2230
60,disablePlayerBackgroundIdUpdate,BlackOps4.exe+43f0650
61,setupPlayerBackgroundIdUpdateByXUID,BlackOps4.exe+43f2cf0
62,setupPlayerEmblemByXUID,BlackOps4.exe+43f2d40
63,setupEmblemCopyWidget,BlackOps4.exe+43f1e50
64,setupHiddenEmblemLayer,BlackOps4.exe+43f2330
65,setupDrawDecalById,BlackOps4.exe+43f1b90
66,setupDrawEmblemLayer,BlackOps4.exe+43f1c00
67,setupPaintjobSlot,BlackOps4.exe+43f2bd0
68,setupPaintjobCustomizationType,BlackOps4.exe+43f2b50
69,setupDecalGroupByIndex,BlackOps4.exe+43f1a70
70,setupEmblemByEmblemIndex,BlackOps4.exe+43f1d50
71,setupEmblem,BlackOps4.exe+43f1cd0
72,setupClientStatusImage,BlackOps4.exe+43f14f0
73,setupShowIfXUIDTalking,BlackOps4.exe+43f3140
74,setupVoipWidget,BlackOps4.exe+43f3740
75,setupVoipImageByXUID,BlackOps4.exe+43f36e0
76,setupVoipImage,BlackOps4.exe+43f3660
77,setupHorizontalCompass,BlackOps4.exe+43f2400
78,setupChatVerticalList,BlackOps4.exe+43f1420
79,setupResizingUIVerticalList,BlackOps4.exe+43f3040
80,setupUIVerticalList,BlackOps4.exe+43f35c0
81,setupResizingUIHorizontalList,BlackOps4.exe+43f2fc0
82,setupUIHorizontalList,BlackOps4.exe+43f3430
83,disableModelStringReplacement,BlackOps4.exe+43f0620
84,disableTwoColorsText,BlackOps4.exe+43f0680
85,setupTwoColorsText,BlackOps4.exe+43f3320
86,setRedactTextInitialDelay,BlackOps4.exe+43f0aa0
87,setupRedactText,BlackOps4.exe+43f2eb0
88,setupUIText,BlackOps4.exe+43f3580
89,setupUIStreamedImage,BlackOps4.exe+43f3500
90,setupPausableContainer,BlackOps4.exe+43f2cc0
91,setupUIImage,BlackOps4.exe+43f34b0
92,setupUIElement,BlackOps4.exe+43f3400
93,centerFreeCursorOnElement,BlackOps4.exe+4247740
94,setupSizeChangeEventWithDefaultLayout,BlackOps4.exe+424d2d0
95,getRealSize,BlackOps4.exe+4248fe0
96,hasHTMLContent,BlackOps4.exe+4249da0
97,setBlur,BlackOps4.exe+424a700
98,setWidth,BlackOps4.exe+424cde0
99,getAlpha,BlackOps4.exe+4247f10
100,getScreenWidth,BlackOps4.exe+42495e0
101,getWidth,BlackOps4.exe+4249d00
102,setHeight,BlackOps4.exe+424a9d0
103,getScreenHeight,BlackOps4.exe+4249390
104,getHeight,BlackOps4.exe+42481b0
