id,name,func
105,completeAnimation,BlackOps4.exe+4247dc0
106,beginAnimation,BlackOps4.exe+42473f0
107,getUseStencil,BlackOps4.exe+4249c70
108,setUseStencil,BlackOps4.exe+424cc60
109,getUseCylinderMapping,BlackOps4.exe+4249be0
110,setUseCylinderMapping,BlackOps4.exe+424cb90
111,setTopBottomPct,BlackOps4.exe+424c730
112,setTopBottom,BlackOps4.exe+424c530
113,setTopPct,BlackOps4.exe+424c880
114,setLeftPct,BlackOps4.exe+424ad70
115,setTopPx,BlackOps4.exe+424c990
116,setLeftPx,BlackOps4.exe+424ae80
117,setLeftRight,BlackOps4.exe+424af70
118,getScreenRect,BlackOps4.exe+42494a0
119,getRect,BlackOps4.exe+4249190
120,getNextRect,BlackOps4.exe+4248c70
121,getLocalRect,BlackOps4.exe+4248610
122,getNextLocalTopBottom,BlackOps4.exe+4248b20
123,getNextLocalLeftRight,BlackOps4.exe+42489d0
124,getLocalTopBottom,BlackOps4.exe+4248710
125,getGlobalLeftRightTopBottom,BlackOps4.exe+4248040
126,getLocalLeftRight,BlackOps4.exe+42484d0
127,setShaderVector,BlackOps4.exe+424bb80
128,setUI3DWindow,BlackOps4.exe+424ca80
129,getScale,BlackOps4.exe+42492a0
130,setScale,BlackOps4.exe+424ba40
131,setZRot,BlackOps4.exe+424d100
132,setYRot,BlackOps4.exe+424d020
133,setXRot,BlackOps4.exe+424cf40
134,setZoom,BlackOps4.exe+424d1e0
135,getAlignment,BlackOps4.exe+4247e70
136,setAlignment,BlackOps4.exe+424a4f0
137,getSpacing,BlackOps4.exe+42496f0
138,setSpacing,BlackOps4.exe+424bfc0
139,unsubscribeFromAllModelsInC,BlackOps4.exe+424d660
140,removeSubscription,BlackOps4.exe+424a1a0
141,subscribeToModel,BlackOps4.exe+424d350
142,setModelInC,BlackOps4.exe+424b450
143,getModel,BlackOps4.exe+4248850
144,isVisible,BlackOps4.exe+4249ee0
145,setLineSpacing,BlackOps4.exe+424b270
146,setLetterSpacing,BlackOps4.exe+424b160
147,setTTF,BlackOps4.exe+424c080
148,getTTF,BlackOps4.exe+42497a0
149,setFont,BlackOps4.exe+424a8e0
150,setAlpha,BlackOps4.exe+424a610
151,setRGB,BlackOps4.exe+424b820
152,getGlobalTextWidth,BlackOps4.exe+4248110
153,getTextWidth,BlackOps4.exe+42499d0
154,getTextWidthAndHeight,BlackOps4.exe+4249a70
155,getTextHeightForWidth,BlackOps4.exe+4249900
156,setTextStencilCull,BlackOps4.exe+424c450
157,getText,BlackOps4.exe+4249830
158,setText,BlackOps4.exe+424c170
159,getImageName,BlackOps4.exe+4248340
160,getImageDimensions,BlackOps4.exe+4248250
161,setImage,BlackOps4.exe+424ab40
162,setMaterial,BlackOps4.exe+424b370
163,setRFTMaterial,BlackOps4.exe+424b680
164,setLayoutCached,BlackOps4.exe+424acd0
165,setPriority,BlackOps4.exe+424b540
166,getNumChildren,BlackOps4.exe+4248e10
167,getPreviousSibling,BlackOps4.exe+4248f50
168,getNextSibling,BlackOps4.exe+4248d80
169,getLastChild,BlackOps4.exe+4248440
170,getFirstChild,BlackOps4.exe+4247fb0
171,getParent,BlackOps4.exe+4248ec0
172,setUsingFocusInteraction,BlackOps4.exe+424cd00
173,setFocus,BlackOps4.exe+424a810
174,isInFocus,BlackOps4.exe+4249e50
175,removeAllChildren,BlackOps4.exe+4249f80
176,removeElement,BlackOps4.exe+424a060
177,closeElementInC,BlackOps4.exe+4247d30
178,addElementAfter,BlackOps4.exe+4247190
179,addElementBefore,BlackOps4.exe+42472c0
180,addElement,BlackOps4.exe+4247010
181,setRoot,BlackOps4.exe+424ba30
182,setupFriendlyArrows,BlackOps4.exe+3c3bdd0
183,setupLockonHighlights,BlackOps4.exe+3c3be90
184,setupPlayerGrappleTargetting,BlackOps4.exe+3c3bf20
185,setupPlayerPivotTargetting,BlackOps4.exe+3c3bf50
186,setupPlayerTargetHighlightsLineOfSight_Enemy,BlackOps4.exe+3c3bfb0
187,setupTargetHighlights_Friendly,BlackOps4.exe+3c3c010
188,setupTargetHighlights_Enemy,BlackOps4.exe+3c3bfe0
189,setupInvalidCmdHint,BlackOps4.exe+3c3be60
190,setupMeleeCounterHint,BlackOps4.exe+3c3bef0
191,setupMeleeChargeHint,BlackOps4.exe+3c3bec0
192,setupHoldBreathZoomHint,BlackOps4.exe+3c3be30
193,setupCancelGrappleHint,BlackOps4.exe+3c3bda0
194,setupHoldBreathHint,BlackOps4.exe+3c3be00
195,setupPlayerStance,BlackOps4.exe+3c3bf80
196,setupCompassOverlay,BlackOps4.exe+3bca860
197,setupCompassFogImageDiameter,BlackOps4.exe+3bca660
198,setupCompassEnemyTearingFog,BlackOps4.exe+3bca540
199,setupCompassDeathZoneMask,BlackOps4.exe+3bca4d0
200,setupCompassFog,BlackOps4.exe+3bca5d0
201,setupHorizontalCompassItems,BlackOps4.exe+3bca920
202,setupCompassItems,BlackOps4.exe+3bca6d0
203,setSpawnRegionData,BlackOps4.exe+3bca430
204,setupSpawnRegion,BlackOps4.exe+3bca980
205,setupCompassLabels,BlackOps4.exe+3bca730
206,setupCompassMap,BlackOps4.exe+3bca800
207,setupCompassUnderlay,BlackOps4.exe+3bca8c0
208,setupTeammateHealTargeting,BlackOps4.exe+3acfb50
209,setupBulletSpreadReticle,BlackOps4.exe+3acf9a0
210,setupDamageFeedback,BlackOps4.exe+3acf9d0
211,setupArmBladeTarget,BlackOps4.exe+3acf850
212,setupRocketLauncherTarget,BlackOps4.exe+3acfa90
213,setupBowLauncherReticleShader,BlackOps4.exe+3acf970
214,setupReticle,BlackOps4.exe+3acfa00
215,setupBleedOutWidget,BlackOps4.exe+3aaeb30
216,setupWeakpointIndicator,BlackOps4.exe+3aaecb0
