pool,container,type,name,minargs,maxargs,type,offset
0,0,function,btregistertree,1,1,common,cod_dump.exe+0x5454eb0
0,0,function,getangleindices,1,2,common,cod_dump.exe+0x5455070
0,0,function,getangleindex,1,2,common,cod_dump.exe+0x5455000
0,0,function,hasroomtoplaypeekout,2,2,common,cod_dump.exe+0x5455130
0,0,function,asmregistergenerichandler,2,2,common,cod_dump.exe+0x53245c0
0,0,function,asmdevgetallnotetrackaimstates,1,1,dev,cod_dump.exe+0x53231f0
0,0,function,asmdevgetallstates,1,1,dev,cod_dump.exe+0x5323200
0,0,function,findclosestlospointwithinvolume,3,5,common,cod_dump.exe+0x544fe00
0,0,function,findclosestlospointwithinradius,4,6,common,cod_dump.exe+0x544fb60
0,0,function,function_5609015f734bb341,5,5,common,cod_dump.exe+0x544fd00
0,0,function,findclosestnonlospointwithinvolume,3,7,common,cod_dump.exe+0x5450200
0,0,function,findclosestnonlospointwithinradius,4,8,common,cod_dump.exe+0x544ff70
0,0,function,findclosestpointbyapproxpathdist,2,3,common,cod_dump.exe+0x54504a0
0,0,function,findopenlookdir,1,2,common,cod_dump.exe+0x5450b40
0,0,function,function_d943b94603518f8a,3,5,common,cod_dump.exe+0x5450c30
0,0,function,initmaxspeedforpathlengthtable,0,0,common,cod_dump.exe+0x54517f0
0,0,function,function_f4f71b263d0368e4,0,0,common,cod_dump.exe+0x54516d0
0,0,function,function_c04127d91364a69d,0,0,common,cod_dump.exe+0x54517e0
0,0,function,animspeedthresholdsexist,1,1,common,cod_dump.exe+0x544f310
0,0,function,hasanimspeedthresholdstring,2,2,common,cod_dump.exe+0x54516f0
0,0,function,getanimspeedthreshold,2,2,common,cod_dump.exe+0x5451140
0,0,function,getnearestspeedthresholdname,2,2,common,cod_dump.exe+0x5451470
0,0,function,getnextlowestspeedthresholdstring,2,2,common,cod_dump.exe+0x5451580
0,0,function,getanimspeedbetweenthresholds,4,4,common,cod_dump.exe+0x5450ff0
0,0,function,isspeedwithincqbrange,2,2,common,cod_dump.exe+0x5451890
0,0,function,getcoveranglelimits,2,2,common,cod_dump.exe+0x5451260
0,0,function,get3dcoveranglelimits,1,1,common,cod_dump.exe+0x5450dd0
0,0,function,getcovercrouchanglelimits,1,1,common,cod_dump.exe+0x5451390
0,0,function,function_e48c10b042529521,5,5,common,cod_dump.exe+0x544f3e0
0,0,function,function_1492f8ebf817d477,10,10,common,cod_dump.exe+0x544f500
0,0,function,function_f6c86cf11c2527c3,2,2,common,cod_dump.exe+0x5479620
0,0,function,function_df78c5e9af5755b3,2,2,common,cod_dump.exe+0x5478b00
0,0,function,function_5ce9e81291a06e57,3,3,common,cod_dump.exe+0x5479320
0,0,function,function_557180f1e2405cae,1,1,common,cod_dump.exe+0x5478a10
0,0,function,function_3a069799911ffb2a,2,2,common,cod_dump.exe+0x5479230
0,0,function,function_32b1d2ad61212ad6,1,1,common,cod_dump.exe+0x54792d0
0,0,function,function_493875beb277a420,0,0,common,cod_dump.exe+0x5478d70
0,0,function,function_bee5df22fff6b7cc,1,1,common,cod_dump.exe+0x54796d0
0,0,function,function_476d961d179c81cf,1,1,common,cod_dump.exe+0x54792f0
0,0,function,function_4f93077540f2d72d,0,0,common,cod_dump.exe+0x54798a0
0,0,function,function_168fdeae018c7954,1,3,common,cod_dump.exe+0x5478730
0,0,function,function_ddd73e5cd6cbb48a,1,1,common,cod_dump.exe+0x54791b0
0,0,function,function_e482c16f68a5f784,1,1,common,cod_dump.exe+0x54791e0
0,0,function,function_48e42d9b9c936ee3,0,1,common,cod_dump.exe+0x54cb7a0
0,0,function,function_bb8b5570f9d8a19a,2,2,common,cod_dump.exe+0x54cb960
0,0,function,function_d9fa623cfa155963,1,1,common,cod_dump.exe+0x54cbb30
0,0,function,function_dd518df9ee8d217c,3,3,common,cod_dump.exe+0x53ef4f0
0,0,function,function_521b5a0a07a246a8,2,2,common,cod_dump.exe+0x53ef310
0,0,function,function_a98c241ba720f283,1,2,common,cod_dump.exe+0x54cbc20
0,0,function,function_90c69839c37de2a1,1,1,common,cod_dump.exe+0x54cb8b0
0,0,function,function_8398629a6c526ce3,1,1,common,cod_dump.exe+0x54cb870
0,0,function,function_911c3a12701d7c0,1,1,common,cod_dump.exe+0x54e87e0
0,0,function,function_c28d9a7f6c9ebd9,1,2,common,cod_dump.exe+0x5478610
0,0,function,function_dcb3b42946902f95,1,1,common,cod_dump.exe+0x53ee210
0,0,function,function_db69f42ea936fa3f,2,2,common,cod_dump.exe+0x53ee340
0,0,function,function_bef7541fece8a9d8,2,2,common,cod_dump.exe+0x54798b0
0,0,function,function_2714637b65eea3f5,0,0,common,cod_dump.exe+0x54787d0
0,0,function,function_bd1324585828658f,3,3,common,cod_dump.exe+0x54e7a40
0,0,function,function_406277262d6fd1a3,2,2,common,cod_dump.exe+0x54e6e10
0,0,function,function_574b6f9a1d08f2eb,3,3,common,cod_dump.exe+0x54e7d00
0,0,function,function_2c091923ec642478,3,3,common,cod_dump.exe+0x54e7d90
0,0,function,function_4c7a19f8dee46f84,3,3,common,cod_dump.exe+0x54e7c70
0,0,function,function_d913f40203912500,2,2,common,cod_dump.exe+0x54e6f30
0,0,function,function_8ad5e5fefc5ead44,0,0,common,cod_dump.exe+0x54e6fb0
0,0,function,function_49ba073b19729747,1,1,common,cod_dump.exe+0x54e7ad0
0,0,function,function_8003d432b68d09cb,0,0,common,cod_dump.exe+0x54e6e90
0,0,function,function_fc1a874b5f6f798b,1,1,common,cod_dump.exe+0x54e7890
0,0,function,function_7feb98439f97a8f,0,0,common,cod_dump.exe+0x54e6d50
0,0,function,function_b25519874215c3ff,1,1,common,cod_dump.exe+0x54e7ee0
0,0,function,function_46bcf2c77eea2efb,0,0,common,cod_dump.exe+0x54e7280
0,0,function,function_4d873e14561eb911,1,1,common,cod_dump.exe+0x54e70f0
0,0,function,function_f2f23a53063fb0af,1,1,common,cod_dump.exe+0x54e7140
0,0,function,function_59e0395d60e51ea1,1,1,common,cod_dump.exe+0x54e70a0
0,0,function,function_274a8c1a4325cdb5,2,2,common,cod_dump.exe+0x54e7bb0
0,0,function,function_668f7743ded3e4a2,1,1,common,cod_dump.exe+0x54e7b10
0,0,function,function_5e673cf4e4ca7b92,1,1,common,cod_dump.exe+0x54e7610
0,0,function,function_581700b562da40a1,1,1,common,cod_dump.exe+0x54e7700
0,0,function,function_73c3c6f6ce9aed4d,0,0,common,cod_dump.exe+0x54e6cd0
0,0,function,function_c34c2b7c9dbb7892,1,1,common,cod_dump.exe+0x54e89b0
0,0,function,function_111a093789cc6e5c,2,2,common,cod_dump.exe+0x54e7f40
0,0,function,function_d189aa185256a42c,2,2,common,cod_dump.exe+0x54e8a30
0,0,function,function_ff2498f19618e5fa,1,1,common,cod_dump.exe+0x54e89f0
0,0,function,function_46bb32e71eb69d30,1,1,common,cod_dump.exe+0x54e7e20
0,0,function,function_5915d97dc7e69e34,0,0,common,cod_dump.exe+0x54e71a0
0,0,function,function_fb8ddd9011d2b21d,1,1,common,cod_dump.exe+0x54e7e80
0,0,function,function_32fdaf030baf9d99,0,0,common,cod_dump.exe+0x54e71e0
0,0,function,function_e9a1c18d17094365,1,1,common,cod_dump.exe+0x54e7220
0,0,function,function_a77ca32795d8ba02,1,1,common,cod_dump.exe+0x54e73a0
0,0,function,function_ba565c20dbedd9c4,2,2,common,cod_dump.exe+0x54e72b0
0,0,function,function_ee1164068857c3a3,1,1,common,cod_dump.exe+0x54e88f0
0,0,function,function_13ea77a314dd7286,0,1,common,cod_dump.exe+0x54e8080
0,0,function,function_54932e4c744e2ab9,0,1,common,cod_dump.exe+0x54e9340
0,0,function,function_9e4930baff036bb2,1,1,common,cod_dump.exe+0x54e8f00
0,0,function,function_229cffc676e99056,1,1,common,cod_dump.exe+0x54e8cd0
0,0,function,function_cca72052509c8c53,1,1,common,cod_dump.exe+0x54e8d00
0,0,function,function_d07df96de22045,1,1,common,cod_dump.exe+0x54e90a0
0,0,function,function_d292b2d840dcbd44,1,1,common,cod_dump.exe+0x54e90d0
0,0,function,function_7e36bd00490d19f1,1,1,common,cod_dump.exe+0x54e9180
0,0,function,function_7e09b487c61b4cec,1,1,common,cod_dump.exe+0x54e9140
0,0,function,function_57f093f720c768ec,1,1,common,cod_dump.exe+0x54e9100
0,0,function,function_7e245a00c31a8acd,0,1,common,cod_dump.exe+0x54e8aa0
0,0,function,function_d26e47fb6923eadb,0,1,common,cod_dump.exe+0x54e8dd0
0,0,function,function_f418992b9171f738,1,1,common,cod_dump.exe+0x54e8a70
0,0,function,function_698e72d899294194,1,1,common,cod_dump.exe+0x54e9000
0,0,function,function_61c3161447ab8ad0,1,1,common,cod_dump.exe+0x54e8ae0
