location,name,func
BlackOps4.exe+f761c18,updatedifficultyfromprofile,BlackOps4.exe+3c5e660
BlackOps4.exe+f761d38,hostmigration_start,BlackOps4.exe+3c5d240
BlackOps4.exe+f761cd8,setperk,BlackOps4.exe+3c5e310
BlackOps4.exe+f761c78,stringusage,BlackOps4.exe+3c5e4d0
BlackOps4.exe+f761bb8,scriptthreadusage,BlackOps4.exe+3c5e270
BlackOps4.exe+f761b58,killserver,BlackOps4.exe+3c5d5d0
BlackOps4.exe+f761af8,switchmaps,BlackOps4.exe+3c76e10
BlackOps4.exe+f761a98,msload,BlackOps4.exe+3c5dd20
BlackOps4.exe+f761a38,mspreload,BlackOps4.exe+3c5dd60
BlackOps4.exe+f7619d8,devmap,BlackOps4.exe+3c5cf40
BlackOps4.exe+f761978,map_rotate,BlackOps4.exe+3c5da00
BlackOps4.exe+f761918,map,BlackOps4.exe+3c5dda0
BlackOps4.exe+f7618b8,notifystatschanged,BlackOps4.exe+3c5e200
BlackOps4.exe+f761858,checkpoint_restart,BlackOps4.exe+3c5cef0
BlackOps4.exe+f7617f8,mission_restart,BlackOps4.exe+3c5dff0
BlackOps4.exe+f761798,hash_1e01c22e54a1841f,BlackOps4.exe+3c5e240
BlackOps4.exe+f761738,reinit_restart,BlackOps4.exe+3c5e250
BlackOps4.exe+f7616d8,mychanges_restart,BlackOps4.exe+3c5e040
BlackOps4.exe+f761678,fast_restart,BlackOps4.exe+3c5d000
BlackOps4.exe+f761618,full_restart,BlackOps4.exe+3c5d010
BlackOps4.exe+f7615b8,dumpuser,BlackOps4.exe+3c5cfc0
BlackOps4.exe+f761558,systeminfo,BlackOps4.exe+3c5e4e0
BlackOps4.exe+f7614f8,serverinfo,BlackOps4.exe+3c5e2e0
BlackOps4.exe+f761498,teamstatus,BlackOps4.exe+3c5e510
BlackOps4.exe+f761438,dumpents,BlackOps4.exe+3c5e230
BlackOps4.exe+f7613d8,status,BlackOps4.exe+3c5e420
BlackOps4.exe+f761378,clientkick_for_reason,BlackOps4.exe+3c5d3a0
BlackOps4.exe+f761318,clientkick,BlackOps4.exe+3c5cf60
BlackOps4.exe+f7612b8,tempbanclient,BlackOps4.exe+3c5e5b0
BlackOps4.exe+f761258,tempbanuser,BlackOps4.exe+3c5e620
BlackOps4.exe+f7611f8,kick,BlackOps4.exe+3c5e620
BlackOps4.exe+f761198,banclient,BlackOps4.exe+3c5cda0
BlackOps4.exe+f761138,banuser,BlackOps4.exe+3c5cea0
BlackOps4.exe+f7610d8,onlykick,BlackOps4.exe+3c5cfb0
BlackOps4.exe+f761078,heartbeat,BlackOps4.exe+3c5d230
BlackOps4.exe+8b237f0,snd_restart,BlackOps4.exe+2870380
BlackOps4.exe+8b23790,vid_restart,BlackOps4.exe+2870570
BlackOps4.exe+8b23730,reconnect,BlackOps4.exe+286bb90
BlackOps4.exe+8b236d0,disconnect,BlackOps4.exe+2857280
