pool,container,type,name,minargs,maxargs,type,offset
0,0,function,btregistertree,1,1,common,cod_dump.exe+0x73029d0
0,0,function,getangleindices,1,2,common,cod_dump.exe+0x7302b90
0,0,function,getangleindex,1,2,common,cod_dump.exe+0x7302b20
0,0,function,hasroomtoplaypeekout,2,2,common,cod_dump.exe+0x7302c50
0,0,function,asmregistergenerichandler,2,2,common,cod_dump.exe+0x87520c0
0,0,function,asmdevgetallnotetrackaimstates,1,1,dev,cod_dump.exe+0x8750cf0
0,0,function,asmdevgetallstates,1,1,dev,cod_dump.exe+0x8750d00
0,0,function,findclosestlospointwithinvolume,3,5,common,cod_dump.exe+0x72fdaa0
0,0,function,findclosestlospointwithinradius,4,6,common,cod_dump.exe+0x72fd800
0,0,function,function_5609015f734bb341,5,5,common,cod_dump.exe+0x72fd9a0
0,0,function,findclosestnonlospointwithinvolume,3,7,common,cod_dump.exe+0x72fdea0
0,0,function,findclosestnonlospointwithinradius,4,8,common,cod_dump.exe+0x72fdc10
0,0,function,findclosestpointbyapproxpathdist,2,3,common,cod_dump.exe+0x72fe140
0,0,function,findopenlookdir,1,2,common,cod_dump.exe+0x72fe720
0,0,function,function_d943b94603518f8a,3,5,common,cod_dump.exe+0x72fe810
0,0,function,initmaxspeedforpathlengthtable,0,0,common,cod_dump.exe+0x72ff3d0
0,0,function,function_f4f71b263d0368e4,0,0,common,cod_dump.exe+0x72ff2b0
0,0,function,function_c04127d91364a69d,0,0,common,cod_dump.exe+0x72ff3c0
0,0,function,animspeedthresholdsexist,1,1,common,cod_dump.exe+0x72fcf40
0,0,function,hasanimspeedthresholdstring,2,2,common,cod_dump.exe+0x72ff2d0
0,0,function,getanimspeedthreshold,2,2,common,cod_dump.exe+0x72fed20
0,0,function,getnearestspeedthresholdname,2,2,common,cod_dump.exe+0x72ff050
0,0,function,getnextlowestspeedthresholdstring,2,2,common,cod_dump.exe+0x72ff160
0,0,function,getanimspeedbetweenthresholds,4,4,common,cod_dump.exe+0x72febd0
0,0,function,isspeedwithincqbrange,2,2,common,cod_dump.exe+0x72ff440
0,0,function,getcoveranglelimits,2,2,common,cod_dump.exe+0x72fee40
0,0,function,get3dcoveranglelimits,1,1,common,cod_dump.exe+0x72fe9b0
0,0,function,getcovercrouchanglelimits,1,1,common,cod_dump.exe+0x72fef70
0,0,function,function_e48c10b042529521,5,5,common,cod_dump.exe+0x72fd010
0,0,function,function_1492f8ebf817d477,10,10,common,cod_dump.exe+0x72fd130
0,0,function,function_f6c86cf11c2527c3,2,2,common,cod_dump.exe+0x87753f0
0,0,function,function_df78c5e9af5755b3,2,2,common,cod_dump.exe+0x87748d0
0,0,function,function_5ce9e81291a06e57,3,3,common,cod_dump.exe+0x87750f0
0,0,function,function_557180f1e2405cae,1,1,common,cod_dump.exe+0x87747e0
0,0,function,function_3a069799911ffb2a,2,2,common,cod_dump.exe+0x8775000
0,0,function,function_32b1d2ad61212ad6,1,1,common,cod_dump.exe+0x87750a0
0,0,function,function_493875beb277a420,0,0,common,cod_dump.exe+0x8774b40
0,0,function,function_bee5df22fff6b7cc,1,1,common,cod_dump.exe+0x87754a0
0,0,function,function_476d961d179c81cf,1,1,common,cod_dump.exe+0x87750c0
0,0,function,function_4f93077540f2d72d,0,0,common,cod_dump.exe+0x8775670
0,0,function,function_168fdeae018c7954,1,3,common,cod_dump.exe+0x8774500
0,0,function,function_ddd73e5cd6cbb48a,1,1,common,cod_dump.exe+0x8774f80
0,0,function,function_e482c16f68a5f784,1,1,common,cod_dump.exe+0x8774fb0
0,0,function,function_48e42d9b9c936ee3,0,1,common,cod_dump.exe+0x8659be0
0,0,function,function_bb8b5570f9d8a19a,2,2,common,cod_dump.exe+0x8659da0
0,0,function,function_d9fa623cfa155963,1,1,common,cod_dump.exe+0x8659f70
0,0,function,function_dd518df9ee8d217c,3,3,common,cod_dump.exe+0x6d1fd80
0,0,function,function_521b5a0a07a246a8,2,2,common,cod_dump.exe+0x6d1fba0
0,0,function,function_a98c241ba720f283,1,2,common,cod_dump.exe+0x865a060
0,0,function,function_90c69839c37de2a1,1,1,common,cod_dump.exe+0x8659cf0
0,0,function,function_8398629a6c526ce3,1,1,common,cod_dump.exe+0x8659cb0
0,0,function,function_911c3a12701d7c0,1,1,common,cod_dump.exe+0x8747bb0
0,0,function,function_c28d9a7f6c9ebd9,1,2,common,cod_dump.exe+0x87743e0
0,0,function,function_dcb3b42946902f95,1,1,common,cod_dump.exe+0x6d1eac0
0,0,function,function_db69f42ea936fa3f,2,2,common,cod_dump.exe+0x6d1ebd0
0,0,function,function_bef7541fece8a9d8,2,2,common,cod_dump.exe+0x8775680
0,0,function,function_2714637b65eea3f5,0,0,common,cod_dump.exe+0x87745a0
0,0,function,function_bd1324585828658f,3,3,common,cod_dump.exe+0x8746e10
0,0,function,function_406277262d6fd1a3,2,2,common,cod_dump.exe+0x87461e0
0,0,function,function_574b6f9a1d08f2eb,3,3,common,cod_dump.exe+0x87470d0
0,0,function,function_2c091923ec642478,3,3,common,cod_dump.exe+0x8747160
0,0,function,function_4c7a19f8dee46f84,3,3,common,cod_dump.exe+0x8747040
0,0,function,function_d913f40203912500,2,2,common,cod_dump.exe+0x8746300
0,0,function,function_8ad5e5fefc5ead44,0,0,common,cod_dump.exe+0x8746380
0,0,function,function_49ba073b19729747,1,1,common,cod_dump.exe+0x8746ea0
0,0,function,function_8003d432b68d09cb,0,0,common,cod_dump.exe+0x8746260
0,0,function,function_fc1a874b5f6f798b,1,1,common,cod_dump.exe+0x8746c60
0,0,function,function_7feb98439f97a8f,0,0,common,cod_dump.exe+0x8746120
0,0,function,function_b25519874215c3ff,1,1,common,cod_dump.exe+0x87472b0
0,0,function,function_46bcf2c77eea2efb,0,0,common,cod_dump.exe+0x8746650
0,0,function,function_4d873e14561eb911,1,1,common,cod_dump.exe+0x87464c0
0,0,function,function_f2f23a53063fb0af,1,1,common,cod_dump.exe+0x8746510
0,0,function,function_59e0395d60e51ea1,1,1,common,cod_dump.exe+0x8746470
0,0,function,function_274a8c1a4325cdb5,2,2,common,cod_dump.exe+0x8746f80
0,0,function,function_668f7743ded3e4a2,1,1,common,cod_dump.exe+0x8746ee0
0,0,function,function_5e673cf4e4ca7b92,1,1,common,cod_dump.exe+0x87469e0
0,0,function,function_581700b562da40a1,1,1,common,cod_dump.exe+0x8746ad0
0,0,function,function_73c3c6f6ce9aed4d,0,0,common,cod_dump.exe+0x87460a0
0,0,function,function_c34c2b7c9dbb7892,1,1,common,cod_dump.exe+0x8747d80
0,0,function,function_111a093789cc6e5c,2,2,common,cod_dump.exe+0x8747310
0,0,function,function_d189aa185256a42c,2,2,common,cod_dump.exe+0x8747e00
0,0,function,function_ff2498f19618e5fa,1,1,common,cod_dump.exe+0x8747dc0
0,0,function,function_46bb32e71eb69d30,1,1,common,cod_dump.exe+0x87471f0
0,0,function,function_5915d97dc7e69e34,0,0,common,cod_dump.exe+0x8746570
0,0,function,function_fb8ddd9011d2b21d,1,1,common,cod_dump.exe+0x8747250
